"",BBK01.OEBB18I,BBK01.OEBB18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:55,
2002-01,1.315,
2002-04,1.323,
2002-07,1.349,
2002-10,1.359,
2003-01,1.225,
2003-04,1.322,
2003-07,0.830,
2003-10,0.745,
2004-01,0.657,
2004-04,0.670,
2004-07,0.641,
2004-10,0.607,
2005-01,0.657,
2005-04,0.624,
2005-07,0.715,
2005-10,0.751,
2006-01,0.785,
2006-04,0.636,
2006-07,0.615,
2006-10,0.741,
2007-01,0.757,
2007-04,0.757,
2007-07,0.716,
2007-10,0.714,
2008-01,0.875,
2008-04,1.002,
2008-07,1.116,
2008-10,1.464,
2009-01,1.179,
2009-04,1.145,
2009-07,1.252,
2009-10,1.156,
2010-01,1.304,
2010-04,1.389,
2010-07,1.414,
2010-10,1.316,
2011-01,1.121,
2011-04,1.145,
2011-07,1.069,
2011-10,1.019,
2012-01,1.033,
2012-04,1.073,
2012-07,1.050,
2012-10,1.070,
2013-01,1.017,
2013-04,1.038,
2013-07,1.149,
2013-10,1.136,
2014-01,1.105,
2014-04,1.143,
2014-07,1.186,
