"",BBK01.CEH4Q2,BBK01.CEH4Q2_FLAGS
"",Loans (consolidated) debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:59,
1991-01,31.5,
1991-04,40.6,
1991-07,39.9,
1991-10,54.5,
1992-01,21.0,
1992-04,38.1,
1992-07,22.7,
1992-10,30.3,
1993-01,19.0,
1993-04,33.7,
1993-07,35.2,
1993-10,58.5,
1994-01,21.0,
1994-04,27.6,
1994-07,29.1,
1994-10,55.6,
1995-01,17.9,
1995-04,46.1,
1995-07,45.8,
1995-10,69.0,
1996-01,36.5,
1996-04,37.6,
1996-07,33.5,
1996-10,83.8,
1997-01,38.5,
1997-04,36.1,
1997-07,38.9,
1997-10,62.4,
1998-01,37.2,
1998-04,37.0,
1998-07,44.3,
1998-10,63.6,
1999-01,61.3,
1999-04,60.4,
1999-07,31.5,
1999-10,77.2,
2000-01,34.5,
2000-04,64.5,
2000-07,-12.7,
2000-10,25.7,
2001-01,107.8,
2001-04,-22.4,
2001-07,14.1,
2001-10,-11.5,
2002-01,26.1,
2002-04,-22.8,
2002-07,30.6,
2002-10,7.9,
2003-01,28.5,
2003-04,-24.5,
2003-07,12.4,
2003-10,23.4,
2004-01,33.2,
2004-04,-51.4,
2004-07,51.1,
2004-10,-10.6,
2005-01,8.3,
2005-04,-11.1,
2005-07,36.4,
2005-10,-12.4,
2006-01,5.3,
2006-04,0.4,
2006-07,56.2,
2006-10,-58.0,
2007-01,53.1,
2007-04,32.3,
2007-07,56.0,
2007-10,24.2,
2008-01,83.4,
2008-04,33.0,
2008-07,47.0,
2008-10,-8.0,
2009-01,33.2,
2009-04,41.4,
2009-07,-21.1,
2009-10,-28.4,
2010-01,26.6,
2010-04,94.2,
2010-07,31.2,
2010-10,74.0,
2011-01,-8.7,
2011-04,16.4,
2011-07,161.4,
2011-10,-27.4,
2012-01,193.0,
2012-04,112.9,
2012-07,-11.8,
2012-10,-75.6,
2013-01,-47.6,
2013-04,6.1,
2013-07,-48.1,
2013-10,-73.8,
2014-01,-17.9,
