"",BBK01.OEAH90N,BBK01.OEAH90N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:44,
2002-01,0.251,
2002-04,0.160,
2002-07,0.161,
2002-10,0.186,
2003-01,0.168,
2003-04,0.146,
2003-07,0.078,
2003-10,0.085,
2004-01,0.056,
2004-04,0.043,
2004-07,0.041,
2004-10,0.042,
2005-01,0.041,
2005-04,0.042,
2005-07,0.015,
2005-10,0.045,
2006-01,0.045,
2006-04,0.016,
2006-07,0.053,
2006-10,0.054,
2007-01,0.078,
2007-04,0.048,
2007-07,0.050,
2007-10,0.051,
2008-01,0.029,
2008-04,0.137,
2008-07,0.213,
2008-10,0.222,
2009-01,0.359,
2009-04,0.143,
2009-07,0.137,
2009-10,0.140,
2010-01,0.128,
2010-04,0.050,
2010-07,0.054,
2010-10,0.050,
2011-01,0.049,
2011-04,0.174,
2011-07,0.120,
2011-10,0.115,
2012-01,0.121,
2012-04,0.080,
2012-07,0.085,
2012-10,0.113,
2013-01,0.108,
2013-04,0.090,
2013-07,0.088,
2013-10,0.214,
2014-01,0.217,
2014-04,0.200,
2014-07,0.221,
