"",BBK01.OEXJ03N,BBK01.OEXJ03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:37,
2002-01,10.897,
2002-04,10.910,
2002-07,10.774,
2002-10,11.608,
2003-01,11.462,
2003-04,11.681,
2003-07,10.719,
2003-10,11.375,
2004-01,10.942,
2004-04,11.229,
2004-07,11.979,
2004-10,4.849,
2005-01,4.876,
2005-04,5.777,
2005-07,5.858,
2005-10,5.426,
2006-01,5.320,
2006-04,5.671,
2006-07,6.153,
2006-10,7.141,
2007-01,7.630,
2007-04,7.919,
2007-07,9.495,
2007-10,9.190,
2008-01,9.303,
2008-04,9.689,
2008-07,9.296,
2008-10,9.655,
2009-01,8.860,
2009-04,8.806,
2009-07,9.918,
2009-10,9.488,
2010-01,10.062,
2010-04,10.183,
2010-07,10.350,
2010-10,10.363,
2011-01,10.719,
2011-04,10.608,
2011-07,10.964,
2011-10,11.258,
2012-01,10.592,
2012-04,10.521,
2012-07,9.537,
2012-10,8.814,
2013-01,13.488,
2013-04,12.675,
2013-07,12.002,
2013-10,12.562,
2014-01,13.785,
2014-04,12.369,
2014-07,14.878,
