"",BBK01.OECJ02I,BBK01.OECJ02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:17,
2002-01,1.649,
2002-04,1.983,
2002-07,2.306,
2002-10,2.200,
2003-01,1.800,
2003-04,1.983,
2003-07,1.855,
2003-10,2.051,
2004-01,1.899,
2004-04,1.793,
2004-07,1.900,
2004-10,2.507,
2005-01,2.240,
2005-04,2.433,
2005-07,2.584,
2005-10,3.522,
2006-01,2.610,
2006-04,2.660,
2006-07,3.129,
2006-10,3.199,
2007-01,3.152,
2007-04,3.209,
2007-07,3.015,
2007-10,4.193,
2008-01,3.066,
2008-04,3.576,
2008-07,3.201,
2008-10,4.261,
2009-01,4.062,
2009-04,5.164,
2009-07,5.200,
2009-10,5.141,
2010-01,5.480,
2010-04,4.786,
2010-07,4.876,
2010-10,5.721,
2011-01,4.471,
2011-04,4.968,
2011-07,5.241,
2011-10,4.980,
2012-01,5.244,
2012-04,5.729,
2012-07,5.121,
2012-10,6.021,
2013-01,6.085,
2013-04,5.931,
2013-07,5.828,
2013-10,6.185,
2014-01,5.696,
2014-04,6.885,
2014-07,6.451,
