"",BBK01.WXI051,BBK01.WXI051_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:08,
2009-09,2405,
2009-10,2211,
2009-11,2530,
2009-12,2318,
2010-01,2423,
2010-02,2100,
2010-03,2303,
2010-04,2436,
2010-05,3451,
2010-06,2735,
2010-07,2026,
2010-08,2272,
2010-09,1808,
2010-10,1932,
2010-11,3488,
2010-12,1775,
2011-01,2195,
2011-02,1808,
2011-03,1829,
2011-04,2016,
2011-05,1927,
2011-06,1654,
2011-07,1875,
2011-08,2782,
2011-09,3248,
2011-10,2824,
2011-11,3004,
2011-12,2741,
2012-01,2983,
2012-02,2742,
2012-03,2367,
2012-04,2791,
2012-05,4495,
2012-06,5893,
2012-07,3864,
2012-08,2809,
2012-09,2768,
2012-10,2313,
2012-11,3912,
2012-12,4501,
2013-01,4706,
2013-02,5493,
2013-03,5463,
2013-04,5297,
2013-05,4723,
2013-06,5349,
2013-07,4777,
2013-08,4836,
2013-09,4471,
2013-10,3925,
2013-11,3319,
2013-12,2322,
2014-01,3316,
2014-02,2568,
2014-03,2253,
2014-04,2480,
2014-05,2489,
2014-06,2956,
2014-07,3100,
2014-08,3341,
2014-09,4026,
2014-10,3673,
2014-11,4598,
