"",BBK01.OEAH43R,BBK01.OEAH43R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:47,
2002-01,0.952,
2002-04,0.960,
2002-07,1.019,
2002-10,1.015,
2003-01,0.929,
2003-04,0.958,
2003-07,1.008,
2003-10,1.024,
2004-01,0.940,
2004-04,0.969,
2004-07,1.039,
2004-10,1.046,
2005-01,0.965,
2005-04,0.991,
2005-07,1.080,
2005-10,1.101,
2006-01,0.972,
2006-04,0.979,
2006-07,1.098,
2006-10,1.148,
2007-01,1.056,
2007-04,1.105,
2007-07,1.153,
2007-10,1.209,
2008-01,1.121,
2008-04,1.139,
2008-07,1.232,
2008-10,1.287,
2009-01,1.175,
2009-04,1.232,
2009-07,1.401,
2009-10,1.328,
2010-01,1.252,
2010-04,1.371,
2010-07,1.476,
2010-10,1.465,
2011-01,1.393,
2011-04,1.436,
2011-07,1.567,
2011-10,1.564,
2012-01,1.494,
2012-04,1.617,
2012-07,1.740,
2012-10,1.752,
2013-01,1.672,
2013-04,1.722,
2013-07,1.887,
2013-10,1.889,
2014-01,1.859,
2014-04,1.905,
2014-07,2.063,
