"",BBK01.OEAE31S,BBK01.OEAE31S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:59,
2002-01,0.716,
2002-04,0.711,
2002-07,0.713,
2002-10,0.719,
2003-01,0.662,
2003-04,0.675,
2003-07,0.692,
2003-10,0.658,
2004-01,0.657,
2004-04,0.675,
2004-07,0.643,
2004-10,0.595,
2005-01,0.578,
2005-04,0.580,
2005-07,0.566,
2005-10,0.580,
2006-01,0.598,
2006-04,0.624,
2006-07,0.629,
2006-10,0.642,
2007-01,0.655,
2007-04,0.639,
2007-07,0.732,
2007-10,0.741,
2008-01,0.742,
2008-04,0.754,
2008-07,0.760,
2008-10,0.759,
2009-01,0.407,
2009-04,0.486,
2009-07,0.503,
2009-10,0.493,
2010-01,0.522,
2010-04,0.560,
2010-07,0.580,
2010-10,0.651,
2011-01,0.669,
2011-04,0.662,
2011-07,0.686,
2011-10,0.720,
2012-01,0.736,
2012-04,0.750,
2012-07,0.788,
2012-10,0.804,
2013-01,0.801,
2013-04,0.821,
2013-07,0.819,
2013-10,0.818,
2014-01,0.853,
2014-04,0.832,
2014-07,0.827,
