"",BBK01.OEAH33R,BBK01.OEAH33R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:44,
2002-01,0.070,
2002-04,0.069,
2002-07,0.068,
2002-10,0.078,
2003-01,0.074,
2003-04,0.077,
2003-07,0.091,
2003-10,0.089,
2004-01,0.078,
2004-04,0.077,
2004-07,0.067,
2004-10,0.053,
2005-01,0.047,
2005-04,0.045,
2005-07,0.038,
2005-10,0.037,
2006-01,0.036,
2006-04,0.044,
2006-07,0.041,
2006-10,0.042,
2007-01,0.041,
2007-04,0.044,
2007-07,0.039,
2007-10,0.037,
2008-01,0.031,
2008-04,0.031,
2008-07,0.043,
2008-10,0.044,
2009-01,0.054,
2009-04,0.058,
2009-07,0.049,
2009-10,0.052,
2010-01,0.047,
2010-04,0.047,
2010-07,0.044,
2010-10,0.052,
2011-01,0.057,
2011-04,0.056,
2011-07,0.061,
2011-10,0.065,
2012-01,0.086,
2012-04,0.109,
2012-07,0.126,
2012-10,0.123,
2013-01,0.108,
2013-04,0.106,
2013-07,0.092,
2013-10,0.169,
2014-01,0.125,
2014-04,0.189,
2014-07,0.195,
