"",BBK01.OEXO04T,BBK01.OEXO04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:48,
2002-01,-0.025,
2002-04,-0.029,
2002-07,0.004,
2002-10,-0.002,
2003-01,-,Nothing exists
2003-04,-0.029,
2003-07,-0.018,
2003-10,-0.003,
2004-01,-0.021,
2004-04,-0.019,
2004-07,-0.026,
2004-10,-,Nothing exists
2005-01,0.014,
2005-04,-0.006,
2005-07,-0.020,
2005-10,0.004,
2006-01,0.006,
2006-04,-0.004,
2006-07,-0.014,
2006-10,0.010,
2007-01,0.081,
2007-04,0.022,
2007-07,0.026,
2007-10,0.058,
2008-01,0.027,
2008-04,0.006,
2008-07,0.016,
2008-10,0.122,
2009-01,-0.022,
2009-04,-0.040,
2009-07,-0.009,
2009-10,-0.077,
2010-01,-0.067,
2010-04,-0.024,
2010-07,-0.012,
2010-10,0.070,
2011-01,0.051,
2011-04,-0.002,
2011-07,-0.004,
2011-10,-0.015,
2012-01,-0.032,
2012-04,-0.008,
2012-07,-0.015,
2012-10,-0.052,
2013-01,-0.056,
2013-04,-0.039,
2013-07,-0.012,
2013-10,-0.010,
2014-01,-0.019,
2014-04,-0.011,
2014-07,0.032,
