"",BBK01.OELJ03H,BBK01.OELJ03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:32,
2002-01,4.515,
2002-04,4.454,
2002-07,4.363,
2002-10,4.290,
2003-01,4.284,
2003-04,4.236,
2003-07,4.224,
2003-10,4.085,
2004-01,3.963,
2004-04,3.795,
2004-07,3.885,
2004-10,3.965,
2005-01,3.995,
2005-04,4.002,
2005-07,3.928,
2005-10,3.937,
2006-01,3.859,
2006-04,3.840,
2006-07,3.922,
2006-10,3.773,
2007-01,3.847,
2007-04,3.771,
2007-07,3.935,
2007-10,3.788,
2008-01,3.839,
2008-04,3.865,
2008-07,4.024,
2008-10,3.961,
2009-01,3.542,
2009-04,3.315,
2009-07,3.263,
2009-10,3.096,
2010-01,3.092,
2010-04,3.001,
2010-07,3.046,
2010-10,3.055,
2011-01,3.050,
2011-04,3.089,
2011-07,3.150,
2011-10,3.149,
2012-01,3.109,
2012-04,2.955,
2012-07,2.832,
2012-10,2.780,
2013-01,2.635,
2013-04,2.363,
2013-07,2.212,
2013-10,2.154,
2014-01,2.996,
2014-04,2.954,
2014-07,2.949,
