"",BBK01.OEAA54Q,BBK01.OEAA54Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:31,
2002-01,3.544,
2002-04,3.355,
2002-07,3.422,
2002-10,3.442,
2003-01,3.330,
2003-04,3.223,
2003-07,3.136,
2003-10,3.110,
2004-01,2.752,
2004-04,1.275,
2004-07,1.137,
2004-10,1.134,
2005-01,0.977,
2005-04,1.055,
2005-07,1.161,
2005-10,1.101,
2006-01,1.134,
2006-04,1.340,
2006-07,1.330,
2006-10,2.482,
2007-01,2.654,
2007-04,2.802,
2007-07,3.136,
2007-10,2.715,
2008-01,2.709,
2008-04,4.469,
2008-07,4.429,
2008-10,4.363,
2009-01,4.293,
2009-04,4.523,
2009-07,3.696,
2009-10,4.169,
2010-01,5.276,
2010-04,5.059,
2010-07,3.359,
2010-10,3.185,
2011-01,2.911,
2011-04,2.671,
2011-07,1.317,
2011-10,1.389,
2012-01,1.360,
2012-04,1.394,
2012-07,1.194,
2012-10,2.129,
2013-01,2.100,
2013-04,1.691,
2013-07,1.650,
2013-10,2.282,
2014-01,1.943,
2014-04,1.936,
2014-07,1.927,
