"",BBK01.OEAE13O,BBK01.OEAE13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:53,
2002-01,0.721,
2002-04,0.647,
2002-07,0.634,
2002-10,0.635,
2003-01,0.596,
2003-04,0.595,
2003-07,0.565,
2003-10,0.567,
2004-01,0.503,
2004-04,0.504,
2004-07,0.503,
2004-10,0.520,
2005-01,0.513,
2005-04,0.574,
2005-07,0.589,
2005-10,0.469,
2006-01,0.427,
2006-04,0.571,
2006-07,0.578,
2006-10,0.594,
2007-01,0.578,
2007-04,0.641,
2007-07,0.680,
2007-10,0.666,
2008-01,0.619,
2008-04,0.593,
2008-07,0.541,
2008-10,0.382,
2009-01,0.265,
2009-04,0.267,
2009-07,0.272,
2009-10,0.281,
2010-01,0.440,
2010-04,0.301,
2010-07,0.423,
2010-10,0.497,
2011-01,0.505,
2011-04,0.313,
2011-07,0.352,
2011-10,0.336,
2012-01,0.320,
2012-04,0.310,
2012-07,0.295,
2012-10,0.309,
2013-01,0.348,
2013-04,0.269,
2013-07,0.465,
2013-10,0.406,
2014-01,0.409,
2014-04,0.412,
2014-07,0.379,
