"",BBFI1.Q.N.DE.W1.S12T.S1.LE.N.FA.O.F2.T._T.N.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.N.FA.O.F2.T._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Net (Assets minus Liabilities) - Positions - Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:37,
1999-10,-390141,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-458685,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-450267,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-317343,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-222412,
2004-01,-266752,
2004-04,-191675,
2004-07,-199770,
2004-10,-154121,
2005-01,-167869,
2005-04,-113320,
2005-07,-102323,
2005-10,-108882,
2006-01,-68779,
2006-04,-29231,
2006-07,-57772,
2006-10,1994,
2007-01,-16573,
2007-04,19299,
2007-07,21277,
2007-10,61882,
2008-01,-4675,
2008-04,22684,
2008-07,29821,
2008-10,139453,
2009-01,76852,
2009-04,75413,
2009-07,62316,
2009-10,114243,
2010-01,38424,
2010-04,-18118,
2010-07,-49252,
2010-10,-79302,
2011-01,-71397,
2011-04,-27766,
2011-07,-89955,
2011-10,-13259,
2012-01,-260438,
2012-04,-234795,
2012-07,-203910,
2012-10,-118616,
2013-01,-117062,
2013-04,-91729,
2013-07,-65409,
2013-10,4254,
2014-01,-6091,
2014-04,28804,
2014-07,10173,
