"",BBK01.OEYL03G,BBK01.OEYL03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:07,
2002-01,45.972,
2002-04,45.842,
2002-07,45.593,
2002-10,47.083,
2003-01,47.209,
2003-04,47.462,
2003-07,47.800,
2003-10,49.420,
2004-01,50.066,
2004-04,50.313,
2004-07,50.595,
2004-10,52.392,
2005-01,52.991,
2005-04,53.265,
2005-07,53.961,
2005-10,55.784,
2006-01,56.344,
2006-04,56.397,
2006-07,56.463,
2006-10,57.800,
2007-01,57.906,
2007-04,57.787,
2007-07,57.457,
2007-10,58.447,
2008-01,57.780,
2008-04,57.538,
2008-07,56.595,
2008-10,56.282,
2009-01,55.388,
2009-04,54.803,
2009-07,54.652,
2009-10,55.899,
2010-01,58.364,
2010-04,58.767,
2010-07,59.444,
2010-10,61.394,
2011-01,65.585,
2011-04,66.017,
2011-07,66.307,
2011-10,67.774,
2012-01,68.349,
2012-04,68.624,
2012-07,68.998,
2012-10,69.926,
2013-01,71.369,
2013-04,72.231,
2013-07,72.253,
2013-10,73.801,
2014-01,74.955,
2014-04,75.489,
2014-07,76.188,
