"",BBK01.OEAH46M,BBK01.OEAH46M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:54,
2002-01,2.416,
2002-04,2.349,
2002-07,2.308,
2002-10,2.335,
2003-01,2.248,
2003-04,2.088,
2003-07,2.010,
2003-10,1.866,
2004-01,1.942,
2004-04,1.791,
2004-07,1.722,
2004-10,1.754,
2005-01,1.771,
2005-04,1.698,
2005-07,1.667,
2005-10,1.756,
2006-01,1.935,
2006-04,1.870,
2006-07,2.035,
2006-10,2.171,
2007-01,2.257,
2007-04,2.324,
2007-07,2.518,
2007-10,2.861,
2008-01,2.962,
2008-04,2.973,
2008-07,3.159,
2008-10,3.329,
2009-01,2.381,
2009-04,1.946,
2009-07,1.637,
2009-10,1.298,
2010-01,1.170,
2010-04,1.054,
2010-07,1.022,
2010-10,1.125,
2011-01,1.065,
2011-04,1.119,
2011-07,1.222,
2011-10,1.184,
2012-01,1.173,
2012-04,1.066,
2012-07,1.005,
2012-10,0.773,
2013-01,0.714,
2013-04,0.663,
2013-07,0.639,
2013-10,0.627,
2014-01,0.542,
2014-04,0.533,
2014-07,0.532,
