"",BBK01.OECB21G,BBK01.OECB21G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:50,
2002-01,0.389,
2002-04,0.402,
2002-07,0.496,
2002-10,0.520,
2003-01,0.574,
2003-04,0.620,
2003-07,0.704,
2003-10,0.632,
2004-01,0.665,
2004-04,0.652,
2004-07,0.627,
2004-10,0.671,
2005-01,1.106,
2005-04,1.006,
2005-07,1.005,
2005-10,0.944,
2006-01,1.002,
2006-04,0.789,
2006-07,0.746,
2006-10,0.739,
2007-01,0.728,
2007-04,0.651,
2007-07,0.647,
2007-10,0.634,
2008-01,0.617,
2008-04,0.593,
2008-07,0.641,
2008-10,0.615,
2009-01,0.652,
2009-04,1.317,
2009-07,1.270,
2009-10,0.969,
2010-01,0.986,
2010-04,0.959,
2010-07,0.937,
2010-10,0.960,
2011-01,0.614,
2011-04,0.442,
2011-07,0.455,
2011-10,0.437,
2012-01,0.447,
2012-04,0.438,
2012-07,0.425,
2012-10,0.451,
2013-01,0.456,
2013-04,0.516,
2013-07,0.864,
2013-10,0.843,
2014-01,0.901,
2014-04,0.874,
2014-07,0.851,
