"",BBSF2.M.1.P.00000.TOT01.I.F.INV.AT.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.AT.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / Austria,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:58,
2009-09,247,
2009-10,252,
2009-11,255,
2009-12,266,
2010-01,274,
2010-02,275,
2010-03,265,
2010-04,265,
2010-05,315,
2010-06,310,
2010-07,312,
2010-08,320,
2010-09,304,
2010-10,251,
2010-11,243,
2010-12,217,
2011-01,224,
2011-02,223,
2011-03,215,
2011-04,206,
2011-05,195,
2011-06,199,
2011-07,180,
2011-08,164,
2011-09,153,
2011-10,210,
2011-11,198,
2011-12,194,
2012-01,208,
2012-02,213,
2012-03,217,
2012-04,202,
2012-05,198,
2012-06,201,
2012-07,212,
2012-08,217,
2012-09,223,
2012-10,231,
2012-11,201,
2012-12,222,
2013-01,238,
2013-02,242,
2013-03,245,
2013-04,244,
2013-05,257,
2013-06,250,
2013-07,265,
2013-08,265,
2013-09,276,
2013-10,276,
2013-11,275,
2013-12,275,
2014-01,285,
2014-02,286,
2014-03,269,
2014-04,266,
2014-05,275,
2014-06,287,
2014-07,283,
2014-08,275,
2014-09,259,
2014-10,294,
2014-11,287,
