"",BBK01.OEYL03Q,BBK01.OEYL03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:11,
2002-01,0.889,
2002-04,0.884,
2002-07,0.875,
2002-10,0.913,
2003-01,0.931,
2003-04,0.918,
2003-07,0.997,
2003-10,0.927,
2004-01,0.951,
2004-04,0.911,
2004-07,0.911,
2004-10,0.969,
2005-01,1.005,
2005-04,1.002,
2005-07,0.983,
2005-10,1.014,
2006-01,1.059,
2006-04,1.106,
2006-07,1.111,
2006-10,1.159,
2007-01,1.217,
2007-04,1.177,
2007-07,1.864,
2007-10,2.058,
2008-01,2.003,
2008-04,2.045,
2008-07,2.092,
2008-10,2.048,
2009-01,1.879,
2009-04,1.848,
2009-07,1.837,
2009-10,1.896,
2010-01,2.008,
2010-04,2.070,
2010-07,2.054,
2010-10,2.096,
2011-01,2.061,
2011-04,2.118,
2011-07,2.158,
2011-10,2.134,
2012-01,2.230,
2012-04,2.254,
2012-07,2.447,
2012-10,2.506,
2013-01,2.321,
2013-04,2.626,
2013-07,2.736,
2013-10,3.130,
2014-01,3.092,
2014-04,3.272,
2014-07,3.334,
