"",BBDA1.M.DE.S.TT.S.A.W1.A.E.I10.A,BBDA1.M.DE.S.TT.S.A.W1.A.E.I10.A_FLAGS
"",German foreign trade: terms of trade / Unit value / Aggregate / all goods / Rest of the World / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 08:07:22,
2008-01,101.6,
2008-02,99.0,
2008-03,99.1,
2008-04,99.0,
2008-05,98.7,
2008-06,96.4,
2008-07,96.8,
2008-08,97.9,
2008-09,97.3,
2008-10,98.6,
2008-11,98.6,
2008-12,99.8,
2009-01,102.4,
2009-02,101.6,
2009-03,102.3,
2009-04,104.8,
2009-05,102.6,
2009-06,103.0,
2009-07,103.4,
2009-08,103.8,
2009-09,103.9,
2009-10,105.2,
2009-11,105.9,
2009-12,103.3,
2010-01,102.9,
2010-02,99.3,
2010-03,102.2,
2010-04,100.5,
2010-05,98.4,
2010-06,100.1,
2010-07,98.6,
2010-08,99.2,
2010-09,99.3,
2010-10,99.6,
2010-11,99.5,
2010-12,99.5,
2011-01,97.8,
2011-02,96.7,
2011-03,98.0,
2011-04,95.9,
2011-05,97.4,
2011-06,96.4,
2011-07,96.0,
2011-08,95.7,
2011-09,97.3,
2011-10,94.9,
2011-11,97.0,
2011-12,95.8,
2012-01,95.8,
2012-02,96.5,
2012-03,94.6,
2012-04,96.5,
2012-05,96.4,
2012-06,96.6,
2012-07,94.9,
2012-08,96.2,
2012-09,96.4,
2012-10,95.5,
2012-11,92.8,
2012-12,96.8,
2013-01,94.5,
2013-02,96.9,
2013-03,94.7,
2013-04,93.5,
2013-05,96.2,
2013-06,96.6,
2013-07,95.8,
2013-08,95.5,
2013-09,96.4,
2013-10,96.6,
2013-11,97.3,
2013-12,97.5,
2014-01,96.8,
2014-02,97.4,
2014-03,96.0,
2014-04,97.0,
2014-05,97.2,
2014-06,97.8,
2014-07,101.8,
2014-08,99.3,
2014-09,99.0,
2014-10,100.0,
2014-11,98.7,
2014-12,102.1,
