"",BBEX3.M.MAD.USD.CA.AC.A01,BBEX3.M.MAD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Morocco  / USD 1 = MAD ... (middle),
unit,MAD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:04,
1967-01,5.07375,
1967-02,5.07165,
1967-03,5.07475,
1967-04,5.06350,
1967-05,5.03990,
1967-06,5.03065,
1967-07,5.02760,
1967-08,5.02965,
1967-09,5.02965,
1967-10,5.02760,
1967-11,5.02785,
1967-12,5.03530,
1968-01,5.04350,
1968-02,5.04680,
1968-03,5.04090,
1968-04,5.05865,
1968-05,5.06550,
1968-06,5.09680,
1968-07,5.09680,
1968-08,5.09680,
1968-09,5.09680,
1968-10,5.09680,
1968-11,5.07935,
1968-12,5.07425,
1969-01,5.07680,
1969-02,5.07475,
1969-03,5.08035,
1969-04,5.09750,
1969-05,.,No value available
1969-06,5.09215,
1969-07,5.09625,
1969-08,5.04925,
1969-09,5.07795,
1969-10,5.08115,
1969-11,5.07615,
1969-12,5.06400,
1970-01,5.05060,
1970-02,5.05200,
1970-03,5.04880,
1970-04,5.03150,
1970-05,5.02925,
1970-06,5.02925,
1970-07,5.02695,
1970-08,5.02695,
1970-09,5.03240,
1970-10,5.03240,
1970-11,5.02695,
1970-12,5.02875,
1971-01,5.02555,
1971-02,5.02785,
1971-03,5.02465,
1971-04,5.02465,
1971-05,5.04335,
1971-06,5.02605,
1971-07,5.02425,
1971-08,5.02365,
1971-09,5.03835,
1971-10,5.04245,
1971-11,5.02270,
1971-12,4.76000,
1972-01,4.67275,
1972-02,4.61900,
1972-03,4.58145,
1972-04,4.58415,
1972-05,4.55775,
1972-06,4.55715,
1972-07,4.55690,
1972-08,4.55730,
1972-09,4.56640,
1972-10,4.59300,
1972-11,4.59465,
1972-12,4.66570,
1973-01,4.57865,
1973-02,4.12610,
1973-03,4.13745,
1973-04,4.16325,
1973-05,4.08645,
1973-06,3.88815,
1973-07,3.88515,
1973-08,3.98815,
1973-09,3.95100,
1973-10,3.95285,
1973-11,4.12520,
1973-12,4.28990,
1974-01,4.56710,
1974-02,4.41615,
1974-03,4.33905,
1974-04,4.33560,
1974-05,4.37830,
1974-06,4.35330,
1974-07,4.31280,
1974-08,4.39810,
1974-09,4.36035,
1974-10,4.32340,
1974-11,4.26495,
1974-12,4.15480,
1975-01,4.07805,
1975-02,3.97465,
1975-03,4.02190,
1975-04,3.98770,
1975-05,3.83790,
1975-06,3.86485,
1975-07,4.10480,
1975-08,4.12075,
1975-09,4.22340,
1975-10,4.10390,
1975-11,4.18655,
1975-12,4.18355,
1976-01,4.20410,
1976-02,4.26650,
1976-03,4.37680,
1976-04,4.40075,
1976-05,4.43470,
1976-06,4.43540,
1976-07,4.49765,
1976-08,4.49180,
1976-09,4.48615,
1976-10,4.51870,
1976-11,4.51090,
1976-12,4.48425,
1977-01,4.51750,
1977-02,4.52140,
1977-03,4.50890,
1977-04,4.49540,
1977-05,4.49050,
1977-06,4.48105,
1977-07,4.54805,
1977-08,4.56190,
1977-09,4.55350,
1977-10,4.47760,
1977-11,4.47125,
1977-12,4.32695,
1978-01,4.32300,
1978-02,4.28755,
1978-03,4.22960,
1978-04,4.27890,
1978-05,4.28095,
1978-06,4.20955,
1978-07,4.10815,
1978-08,4.04425,
1978-09,3.98855,
1978-10,3.74915,
1978-11,4.05025,
1978-12,3.88645,
1979-01,3.95445,
1979-02,3.93650,
1979-03,3.94390,
1979-04,3.96820,
1979-05,4.00000,
1979-06,3.90405,
1979-07,3.88000,
1979-08,3.87375,
1979-09,3.77220,
1979-10,3.87900,
1979-11,3.77455,
1979-12,3.73880,
1980-01,3.76415,
1980-02,3.82865,
1980-03,4.09220,
1980-04,3.88495,
1980-05,3.84850,
1980-06,3.79850,
1980-07,3.84740,
1980-08,3.86110,
1980-09,3.97040,
1980-10,4.11290,
1980-11,4.23235,
1980-12,4.33415,
1981-01,4.66705,
1981-02,4.78905,
1981-03,4.75495,
1981-04,5.02630,
1981-05,5.29010,
1981-06,5.45405,
1981-07,5.58235,
1981-08,5.56455,
1981-09,5.32315,
1981-10,5.39755,
1981-11,5.25520,
1981-12,5.33335,
1982-01,5.51320,
1982-02,5.77985,
1982-03,5.90570,
1982-04,5.83375,
1982-05,5.82170,
1982-06,6.17650,
1982-07,6.17535,
1982-08,6.19405,
1982-09,6.24795,
1982-10,6.33860,
1982-11,6.36395,
1982-12,6.26755,
1983-01,6.39175,
1983-02,6.37990,
1983-03,6.58375,
1983-04,6.63425,
1983-05,6.76400,
1983-06,6.85925,
1983-07,7.05700,
1983-08,7.93825,
1983-09,7.86140,
1983-10,7.85640,
1983-11,7.98175,
1983-12,8.06100,
1984-01,8.21680,
1984-02,8.02365,
1984-03,8.26070,
1984-04,8.61525,
1984-05,8.70025,
1984-06,8.82090,
1984-07,9.05670,
1984-08,9.05080,
1984-09,9.32930,
1984-10,9.35085,
1984-11,9.47865,
1984-12,9.55120,
1985-01,9.65035,
1985-02,9.99420,
1985-03,9.70230,
1985-04,10.17550,
1985-05,10.50900,
1985-06,10.43900,
1985-07,10.21200,
1985-08,10.23250,
1985-09,10.05050,
1985-10,9.91970,
1985-11,9.68720,
1985-12,9.62125,
1986-01,9.49265,
1986-02,9.07250,
1986-03,9.35285,
1986-04,9.08060,
1986-05,9.39110,
1986-06,9.11445,
1986-07,8.95315,
1986-08,8.90340,
1986-09,8.85150,
1986-10,8.99735,
1986-11,8.79690,
1986-12,8.71170,
1987-01,8.46330,
1987-02,8.49050,
1987-03,8.40735,
1987-04,8.34115,
1987-05,8.43230,
1987-06,8.45400,
1987-07,8.49285,
1987-08,8.37535,
1987-09,8.40855,
1987-10,8.18740,
1987-11,7.92800,
1987-12,7.80030,
1988-01,8.03640,
1988-02,8.06385,
1988-03,7.95315,
1988-04,7.97210,
1988-05,8.09560,
1988-06,8.37820,
1988-07,8.49620,
1988-08,8.52145,
1988-09,8.53320,
1988-10,8.25130,
1988-11,8.13800,
1988-12,8.21060,
1989-01,8.38850,
1989-02,8.33195,
1989-03,8.47870,
1989-04,8.44175,
1989-05,8.77435,
1989-06,8.70185,
1989-07,8.42725,
1989-08,8.67110,
1989-09,8.47480,
1989-10,8.42460,
1989-11,8.34595,
1989-12,8.12180,
1990-01,8.05005,
1990-02,8.05325,
1990-03,8.05810,
1990-04,8.04070,
1990-05,8.83035,comment
1990-06,8.70170,
1990-07,8.35775,
1990-08,8.23985,
1990-09,8.26190,
1990-10,8.06255,
1990-11,8.04105,
1990-12,8.04285,
1991-01,7.96065,
1991-02,8.11675,
1991-03,8.90985,
1991-04,8.96665,
1991-05,8.95175,
1991-06,9.32670,
1991-07,9.06565,
1991-08,9.03900,
1991-09,8.74010,
1991-10,8.79110,
1991-11,8.63755,
1991-12,8.14985,
1992-01,8.62995,
1992-02,8.77165,
1992-03,8.83625,
1992-04,8.86280,
1992-05,8.64425,
1992-06,8.29620,
1992-07,8.11930,
1992-08,7.85480,
1992-09,8.05110,
1992-10,8.55240,
1992-11,8.85870,
1992-12,9.04870,
1993-01,8.97620,
1993-02,9.24210,
1993-03,9.09540,
1993-04,8.87910,
1993-05,8.97570,
1993-06,9.34290,
1993-07,9.68210,
1993-08,9.46580,
1993-09,9.27760,
1993-10,9.52280,
1993-11,9.62490,
1993-12,9.65120,
1994-01,9.64440,
1994-02,9.55840,
1994-03,9.39600,
1994-04,9.35800,
1994-05,9.27180,
1994-06,9.09580,
1994-07,9.09770,
1994-08,9.05910,
1994-09,8.87380,
1994-10,8.72510,
1994-11,9.00710,
1994-12,8.95960,
1995-01,8.80020,
1995-02,8.70720,
1995-03,8.38630,
1995-04,8.39890,
1995-05,8.38980,
1995-06,8.36060,
1995-07,8.28370,
1995-08,8.63420,
1995-09,8.45280,
1995-10,8.44150,
1995-11,8.54530,
1995-12,8.46890,
1996-01,8.74000,
1996-02,8.61440,
1996-03,8.63800,
1996-04,8.82730,
1996-05,8.82740,
1996-06,8.77540,
1996-07,8.57750,
1996-08,8.64940,
1996-09,8.77610,
1996-10,8.68410,
1996-11,8.75985,
1996-12,8.79950,
1997-01,9.18030,
1997-02,9.39045,
1997-03,9.31975,
1997-04,9.53805,
1997-05,9.42845,
1997-06,9.55430,
1997-07,9.90175,
1997-08,9.78650,
1997-09,9.66075,
1997-10,9.45910,
1997-11,9.59195,
1997-12,9.71410,
1998-01,9.79905,
1998-02,9.79885,
1998-03,9.91480,
1998-04,9.72375,
1998-05,9.71720,
1998-06,9.78020,
1998-07,9.69525,
1998-08,9.62345,
1998-09,9.24750,
1998-10,9.20185,
1998-11,9.37240,
1998-12,9.26970,
1999-01,9.45750,
1999-02,9.67350,
1999-03,9.74970,
1999-04,9.89185,
1999-05,9.96975,
1999-06,10.03475,
1999-07,9.79150,
