"",BBK01.OEHB06Q,BBK01.OEHB06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:47,
2002-01,3.477,
2002-04,3.493,
2002-07,3.357,
2002-10,3.349,
2003-01,3.358,
2003-04,3.373,
2003-07,3.483,
2003-10,3.164,
2004-01,3.096,
2004-04,3.057,
2004-07,2.957,
2004-10,2.808,
2005-01,2.939,
2005-04,3.000,
2005-07,2.939,
2005-10,2.745,
2006-01,2.860,
2006-04,2.872,
2006-07,2.725,
2006-10,2.631,
2007-01,2.621,
2007-04,2.601,
2007-07,2.569,
2007-10,2.644,
2008-01,2.738,
2008-04,2.757,
2008-07,2.719,
2008-10,2.754,
2009-01,2.796,
2009-04,2.871,
2009-07,2.817,
2009-10,2.670,
2010-01,2.690,
2010-04,2.766,
2010-07,2.546,
2010-10,2.329,
2011-01,2.318,
2011-04,2.372,
2011-07,2.238,
2011-10,2.124,
2012-01,2.182,
2012-04,2.179,
2012-07,2.117,
2012-10,2.129,
2013-01,2.237,
2013-04,2.221,
2013-07,2.209,
2013-10,2.104,
2014-01,2.187,
2014-04,2.172,
2014-07,2.182,
