"",BBK01.OEAC33K,BBK01.OEAC33K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:07,
2002-01,0.077,
2002-04,0.077,
2002-07,0.074,
2002-10,0.087,
2003-01,0.083,
2003-04,0.080,
2003-07,0.065,
2003-10,0.066,
2004-01,0.610,
2004-04,0.077,
2004-07,0.076,
2004-10,0.030,
2005-01,0.031,
2005-04,0.059,
2005-07,0.135,
2005-10,0.172,
2006-01,0.086,
2006-04,0.071,
2006-07,0.175,
2006-10,0.190,
2007-01,0.069,
2007-04,0.052,
2007-07,0.065,
2007-10,0.071,
2008-01,0.160,
2008-04,0.182,
2008-07,0.162,
2008-10,0.190,
2009-01,0.258,
2009-04,0.269,
2009-07,0.310,
2009-10,0.307,
2010-01,0.380,
2010-04,0.439,
2010-07,0.253,
2010-10,0.234,
2011-01,0.191,
2011-04,0.220,
2011-07,0.244,
2011-10,0.225,
2012-01,0.198,
2012-04,0.175,
2012-07,0.174,
2012-10,0.144,
2013-01,0.141,
2013-04,0.157,
2013-07,0.128,
2013-10,0.135,
2014-01,0.150,
2014-04,0.168,
2014-07,0.323,
