"",BBFB1.Q.N.DE.S3.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:34,
1991-01,102.577,
1991-04,107.340,
1991-07,96.153,
1991-10,115.483,
1992-01,92.024,
1992-04,90.440,
1992-07,129.103,
1992-10,153.704,
1993-01,93.057,
1993-04,94.853,
1993-07,86.262,
1993-10,87.752,
1994-01,95.265,
1994-04,119.483,
1994-07,119.855,
1994-10,166.188,
1995-01,131.347,
1995-04,135.973,
1995-07,139.338,
1995-10,161.382,
1996-01,132.955,
1996-04,138.846,
1996-07,133.676,
1996-10,143.248,
1997-01,142.639,
1997-04,129.724,
1997-07,129.670,
1997-10,134.381,
1998-01,132.427,
1998-04,117.950,
1998-07,104.655,
1998-10,94.160,
1999-01,91.366,
1999-04,105.739,
1999-07,150.103,
1999-10,192.564,
2000-01,319.299,
2000-04,257.682,
2000-07,241.758,
2000-10,230.076,
2001-01,211.487,
2001-04,182.060,
2001-07,144.111,
2001-10,141.009,
2002-01,120.575,
2002-04,130.089,
2002-07,160.223,
2002-10,143.115,
2003-01,147.231,
2003-04,155.312,
2003-07,112.250,
2003-10,134.289,
2004-01,174.255,
2004-04,156.904,
2004-07,139.405,
2004-10,141.213,
2005-01,149.012,
2005-04,166.710,
2005-07,243.065,
2005-10,254.681,
2006-01,261.560,
2006-04,307.859,
2006-07,248.542,
2006-10,347.156,
2007-01,315.021,
2007-04,524.770,
2007-07,415.472,
2007-10,439.529,
2008-01,432.484,
2008-04,353.020,
2008-07,449.977,
2008-10,408.516,
2009-01,264.159,
2009-04,326.123,
2009-07,315.559,
2009-10,336.902,
2010-01,338.186,
2010-04,423.990,
2010-07,371.504,
2010-10,429.572,
2011-01,358.466,
2011-04,370.778,
2011-07,380.953,
2011-10,356.393,
2012-01,314.689,
2012-04,342.528,
2012-07,307.818,
2012-10,344.783,
2013-01,190.057,
2013-04,192.440,
2013-07,155.075,
2013-10,444.916,
2014-01,136.001,Provisional value
2014-04,144.246,Provisional value
2014-07,127.814,Provisional value
