"",BBK01.OEAH27O,BBK01.OEAH27O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:57,
2002-01,5.374,
2002-04,5.033,
2002-07,4.943,
2002-10,4.926,
2003-01,4.758,
2003-04,4.567,
2003-07,4.458,
2003-10,4.482,
2004-01,4.544,
2004-04,4.370,
2004-07,4.320,
2004-10,4.407,
2005-01,4.793,
2005-04,4.812,
2005-07,4.400,
2005-10,4.689,
2006-01,4.977,
2006-04,5.135,
2006-07,5.203,
2006-10,5.339,
2007-01,5.326,
2007-04,5.071,
2007-07,5.078,
2007-10,5.167,
2008-01,4.897,
2008-04,4.492,
2008-07,3.992,
2008-10,4.134,
2009-01,4.337,
2009-04,4.930,
2009-07,5.594,
2009-10,6.190,
2010-01,6.413,
2010-04,6.158,
2010-07,5.824,
2010-10,5.617,
2011-01,5.430,
2011-04,5.177,
2011-07,5.038,
2011-10,4.675,
2012-01,4.665,
2012-04,4.643,
2012-07,4.633,
2012-10,4.640,
2013-01,4.753,
2013-04,4.588,
2013-07,4.429,
2013-10,4.423,
2014-01,4.296,
2014-04,4.253,
2014-07,4.349,
