"",BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:18,
1991-01,37.896,
1991-04,71.593,
1991-07,181.579,
1991-10,-121.329,
1992-01,-133.050,
1992-04,13.309,
1992-07,109.414,
1992-10,436.374,
1993-01,509.400,
1993-04,-1031.991,
1993-07,643.021,
1993-10,137.137,
1994-01,94.533,
1994-04,-376.644,
1994-07,-415.663,
1994-10,99.716,
1995-01,-147.558,
1995-04,-80.224,
1995-07,630.485,
1995-10,104.461,
1996-01,603.481,
1996-04,112.283,
1996-07,-53.950,
1996-10,523.788,
1997-01,1818.188,
1997-04,1496.151,
1997-07,1367.194,
1997-10,1065.783,
1998-01,515.648,
1998-04,-316.499,
1998-07,-529.654,
1998-10,630.938,
1999-01,833.978,
1999-04,-130.888,
1999-07,702.225,
1999-10,302.049,
2000-01,402.296,
2000-04,892.213,
2000-07,-161.702,
2000-10,897.611,
2001-01,134.803,
2001-04,-5.668,
2001-07,-559.289,
2001-10,796.832,
2002-01,681.032,
2002-04,77.672,
2002-07,-102.974,
2002-10,673.066,
2003-01,1849.980,
2003-04,469.560,
2003-07,43.252,
2003-10,1284.859,
2004-01,1607.972,
2004-04,-20.226,
2004-07,891.968,
2004-10,521.845,
2005-01,1107.020,
2005-04,-1255.604,
2005-07,-442.462,
2005-10,-1217.706,
2006-01,572.502,
2006-04,161.615,
2006-07,769.565,
2006-10,-359.158,
2007-01,-98.973,
2007-04,-253.930,
2007-07,-1747.224,
2007-10,455.184,
2008-01,423.250,
2008-04,987.501,
2008-07,711.342,
2008-10,200.563,
2009-01,931.408,
2009-04,1998.705,
2009-07,948.498,
2009-10,1864.206,
2010-01,1263.621,
2010-04,-269.177,
2010-07,1027.329,
2010-10,1810.097,
2011-01,1358.982,
2011-04,1.475,
2011-07,1121.130,
2011-10,1385.954,
2012-01,2809.563,
2012-04,2039.664,
2012-07,1071.439,
2012-10,399.355,
2013-01,1140.388,
2013-04,8.049,
2013-07,1439.340,
2013-10,-246.970,
2014-01,2032.464,Provisional value
2014-04,388.639,Provisional value
2014-07,2552.169,Provisional value
2014-10,287.470,Provisional value
