"",BBK01.BJ9184,BBK01.BJ9184_FLAGS
"",National accounts - general government expenditure - gross capital formation (ESA 2010) - Germany as a whole (western Germany up to and including 1990),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:57,
1970,17040,
1971,18320,
1972,18020,
1973,18700,
1974,22640,
1975,23020,
1976,22270,
1977,22450,
1978,24130,
1979,26640,
1980,28650,
1981,27580,
1982,25090,
1983,24060,
1984,24090,
1985,24770,
1986,27200,
1987,27440,
1988,27850,
1989,29500,
1990,31620,
1991,49812,"Break, comment"
1992,55587,
1993,54234,
1994,53612,
1995,49719,
1996,48528,
1997,45952,
1998,47098,
1999,47783,
2000,49197,
2001,49974,
2002,49065,
2003,47536,
2004,44796,
2005,42870,
2006,46363,
2007,47672,
2008,51438,
2009,56246,
2010,58944,
2011,61169,Provisional value
2012,62141,Provisional value
2013,62775,Provisional value
2014,65329,Provisional value
"",General: For Germany as a whole (western Germany in ESA 95 definition up to and including 1990),
