"",BBK01.OEAH65P,BBK01.OEAH65P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:46,
2002-01,0.104,
2002-04,0.105,
2002-07,0.103,
2002-10,0.095,
2003-01,0.083,
2003-04,0.077,
2003-07,0.067,
2003-10,0.065,
2004-01,0.060,
2004-04,0.054,
2004-07,0.050,
2004-10,0.052,
2005-01,0.060,
2005-04,0.061,
2005-07,0.063,
2005-10,0.067,
2006-01,0.083,
2006-04,0.088,
2006-07,0.106,
2006-10,0.129,
2007-01,0.164,
2007-04,0.202,
2007-07,0.240,
2007-10,0.277,
2008-01,0.332,
2008-04,0.378,
2008-07,0.416,
2008-10,0.454,
2009-01,0.433,
2009-04,0.339,
2009-07,0.255,
2009-10,0.195,
2010-01,0.149,
2010-04,0.105,
2010-07,0.101,
2010-10,0.104,
2011-01,0.111,
2011-04,0.109,
2011-07,0.102,
2011-10,0.096,
2012-01,0.087,
2012-04,0.090,
2012-07,0.087,
2012-10,0.091,
2013-01,0.089,
2013-04,0.081,
2013-07,0.071,
2013-10,0.071,
2014-01,0.072,
2014-04,0.076,
2014-07,0.073,
