"",BBK01.OEAC50S,BBK01.OEAC50S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:01,
2002-01,0.939,
2002-04,0.928,
2002-07,0.916,
2002-10,0.868,
2003-01,0.844,
2003-04,0.839,
2003-07,0.825,
2003-10,0.816,
2004-01,0.804,
2004-04,0.784,
2004-07,0.764,
2004-10,0.761,
2005-01,0.748,
2005-04,0.735,
2005-07,0.715,
2005-10,0.705,
2006-01,0.683,
2006-04,0.678,
2006-07,0.665,
2006-10,0.655,
2007-01,0.647,
2007-04,0.639,
2007-07,0.629,
2007-10,0.618,
2008-01,0.615,
2008-04,0.619,
2008-07,0.621,
2008-10,0.619,
2009-01,0.603,
2009-04,0.611,
2009-07,0.615,
2009-10,0.584,
2010-01,0.622,
2010-04,0.616,
2010-07,0.612,
2010-10,0.624,
2011-01,0.616,
2011-04,0.620,
2011-07,0.617,
2011-10,0.625,
2012-01,0.622,
2012-04,0.672,
2012-07,0.651,
2012-10,0.642,
2013-01,0.643,
2013-04,0.645,
2013-07,0.644,
2013-10,0.650,
2014-01,0.648,
2014-04,0.652,
2014-07,0.662,
