"",BBSF2.M.1.S.00000.REN01.T.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.T.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:44,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,191,
1993-05,125,
1993-06,120,
1993-07,133,
1993-08,135,
1993-09,136,
1993-10,138,
1993-11,139,
1993-12,141,
1994-01,141,
1994-02,144,
1994-03,138,
1994-04,138,
1994-05,137,
1994-06,136,
1994-07,137,
1994-08,136,
1994-09,134,
1994-10,140,
1994-11,141,
1994-12,142,
1995-01,143,
1995-02,144,
1995-03,145,
1995-04,147,
1995-05,151,
1995-06,150,
1995-07,152,
1995-08,154,
1995-09,155,
1995-10,156,
1995-11,158,
1995-12,161,
1996-01,163,
1996-02,161,
1996-03,162,
1996-04,164,
1996-05,164,
1996-06,164,
1996-07,165,
1996-08,167,
1996-09,169,
1996-10,170,
1996-11,172,
1996-12,174,
1997-01,176,
1997-02,177,
1997-03,177,
1997-04,178,
1997-05,179,
1997-06,181,
1997-07,184,
1997-08,182,
1997-09,183,
1997-10,182,
1997-11,184,
1997-12,188,
1998-01,190,
1998-02,192,
1998-03,193,
1998-04,198,
1998-05,199,
1998-06,202,
1998-07,225,
1998-08,229,
1998-09,231,
1998-10,232,
1998-11,235,
1998-12,235,
1999-01,240,
1999-02,259,
1999-03,887,
1999-04,909,
1999-05,830,
1999-06,817,
1999-07,811,
1999-08,810,
1999-09,803,
1999-10,807,
1999-11,813,
1999-12,832,
2000-01,843,
2000-02,963,
2000-03,980,
2000-04,998,
2000-05,993,
2000-06,991,
2000-07,996,
2000-08,999,
2000-09,1003,
2000-10,1003,
2000-11,1002,
2000-12,1003,
2001-01,998,
2001-02,1002,
2001-03,1018,
2001-04,1004,
2001-05,1002,
2001-06,888,
2001-07,893,
2001-08,899,
2001-09,898,
2001-10,412,
2001-11,412,
2001-12,414,
2002-01,677,
2002-02,677,
2002-03,677,
2002-04,681,
2002-05,686,
2002-06,710,
2002-07,702,
2002-08,881,
2002-09,1012,
2002-10,1030,
2002-11,1037,
2002-12,919,
2003-01,1085,
2003-02,1094,
2003-03,1100,
2003-04,1106,
2003-05,1138,
2003-06,1139,
2003-07,1131,
2003-08,1135,
2003-09,1144,
2003-10,1134,
2003-11,1134,
2003-12,1001,
2004-01,1012,
2004-02,1019,
2004-03,1015,
2004-04,1007,
2004-05,1005,
2004-06,995,
2004-07,1033,
2004-08,1042,
2004-09,989,
2004-10,1001,
2004-11,1017,
2004-12,1024,
2005-01,1037,
2005-02,1040,
2005-03,1038,
2005-04,1050,
2005-05,1060,
2005-06,1074,
2005-07,1073,
2005-08,1091,
2005-09,1098,
2005-10,1086,
2005-11,1087,
2005-12,1189,
2006-01,1184,
2006-02,1248,
2006-03,1232,
2006-04,1407,
2006-05,1400,
2006-06,1396,
2006-07,1413,
2006-08,1405,
2006-09,1380,
2006-10,1381,
2006-11,1388,
2006-12,1400,
2007-01,1395,
2007-02,1406,
2007-03,1402,
2007-04,1583,
2007-05,1581,
2007-06,1576,
2007-07,1598,
2007-08,1606,
2007-09,1607,
2007-10,1683,
2007-11,1701,
2007-12,1831,
2008-01,1791,
2008-02,1796,
2008-03,1779,
2008-04,1909,
2008-05,1891,
2008-06,1994,
2008-07,2015,
2008-08,2041,
2008-09,2135,
2008-10,2099,
2008-11,2121,
2008-12,2077,
2009-01,2100,
2009-02,2088,
2009-03,2092,
2009-04,2212,
2009-05,2290,
2009-06,2325,
2009-07,2383,
2009-08,2417,
2009-09,1413,
2009-10,1694,
2009-11,1682,
2009-12,2648,
2010-01,2665,
2010-02,2656,
2010-03,2670,
2010-04,2679,
2010-05,2701,
2010-06,2697,
2010-07,2694,
2010-08,2755,
2010-09,2778,
2010-10,2744,
2010-11,2711,
2010-12,2830,
2011-01,2894,
2011-02,2952,
2011-03,2969,
2011-04,3112,
2011-05,3195,
2011-06,3186,
2011-07,3217,
2011-08,3093,
2011-09,3194,
2011-10,3494,
2011-11,3567,
2011-12,4310,
2012-01,4536,
2012-02,4505,
2012-03,4498,
2012-04,3419,
2012-05,3457,
2012-06,3975,
2012-07,5104,
2012-08,3784,
2012-09,3741,
2012-10,3741,
2012-11,3765,
2012-12,3548,
2013-01,3328,
2013-02,3353,
2013-03,3265,
2013-04,3284,
2013-05,3151,
2013-06,3275,
2013-07,3029,
2013-08,3016,
2013-09,3015,
2013-10,3032,
2013-11,3029,
2013-12,2875,
2014-01,3068,
2014-02,3056,
2014-03,3063,
2014-04,3085,
2014-05,3119,
2014-06,3069,
2014-07,3038,
2014-08,3173,
2014-09,3472,
2014-10,3481,
2014-11,3204,
