"",BBK01.OEAL04S,BBK01.OEAL04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:18,
2002-01,0.684,
2002-04,0.654,
2002-07,0.673,
2002-10,0.645,
2003-01,0.587,
2003-04,0.564,
2003-07,0.554,
2003-10,0.537,
2004-01,0.524,
2004-04,0.488,
2004-07,0.474,
2004-10,0.470,
2005-01,0.517,
2005-04,0.491,
2005-07,0.492,
2005-10,0.477,
2006-01,0.492,
2006-04,0.499,
2006-07,0.519,
2006-10,0.527,
2007-01,0.562,
2007-04,0.582,
2007-07,0.639,
2007-10,0.753,
2008-01,0.812,
2008-04,0.856,
2008-07,0.913,
2008-10,1.008,
2009-01,0.906,
2009-04,0.806,
2009-07,0.647,
2009-10,0.522,
2010-01,0.480,
2010-04,0.455,
2010-07,0.411,
2010-10,0.392,
2011-01,0.405,
2011-04,0.414,
2011-07,0.399,
2011-10,0.469,
2012-01,0.497,
2012-04,0.477,
2012-07,0.455,
2012-10,0.396,
2013-01,0.369,
2013-04,0.362,
2013-07,0.346,
2013-10,0.327,
2014-01,0.332,
2014-04,0.344,
2014-07,0.328,
