"",BBK01.TZ5581,BBK01.TZ5581_FLAGS
"",Deposits of non-MFIs / Total / All maturities / Domestic / Financial transactions (flows) / Seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:45,
1999-01,19.2,
1999-02,2.6,
1999-03,4.7,
1999-04,5.6,
1999-05,4.2,
1999-06,7.9,
1999-07,6.0,
1999-08,4.5,
1999-09,6.7,
1999-10,5.1,
1999-11,6.0,
1999-12,-6.6,
2000-01,11.8,
2000-02,7.7,
2000-03,-1.0,
2000-04,2.7,
2000-05,-2.4,
2000-06,-4.1,
2000-07,-4.2,
2000-08,1.5,
2000-09,1.7,
2000-10,-1.0,
2000-11,3.9,
2000-12,2.8,
2001-01,10.3,
2001-02,11.0,
2001-03,9.0,
2001-04,3.4,
2001-05,5.5,
2001-06,15.2,
2001-07,0.2,
2001-08,10.4,
2001-09,19.1,
2001-10,3.8,
2001-11,4.0,
2001-12,9.8,
2002-01,2.8,
2002-02,-1.8,
2002-03,6.3,
2002-04,-2.5,
2002-05,11.2,
2002-06,13.2,
2002-07,3.5,
2002-08,0.7,
2002-09,0.6,
2002-10,16.4,
2002-11,9.9,
2002-12,19.3,
2003-01,-4.3,
2003-02,11.8,
2003-03,9.2,
2003-04,9.4,
2003-05,7.4,
2003-06,6.3,
2003-07,1.4,
2003-08,11.3,
2003-09,-1.6,
2003-10,0.6,
2003-11,6.0,
2003-12,-5.3,
2004-01,2.6,
2004-02,2.6,
2004-03,10.5,
2004-04,10.0,
2004-05,6.5,
2004-06,-0.2,
2004-07,8.5,
2004-08,8.2,
2004-09,7.3,
2004-10,6.1,
2004-11,5.9,
2004-12,-4.6,
2005-01,14.4,
2005-02,5.8,
2005-03,5.1,
2005-04,13.3,
2005-05,5.9,
2005-06,3.8,
2005-07,13.6,
2005-08,7.9,
2005-09,1.7,
2005-10,4.8,
2005-11,1.0,
2005-12,1.6,
2006-01,8.9,
2006-02,6.6,
2006-03,12.3,
2006-04,18.6,
2006-05,12.2,
2006-06,8.3,
2006-07,4.1,
2006-08,7.3,
2006-09,5.7,
2006-10,0.0,
2006-11,13.3,
2006-12,20.8,
2007-01,7.3,
2007-02,5.7,
2007-03,9.8,
2007-04,17.9,
2007-05,6.8,
2007-06,22.2,
2007-07,14.0,
2007-08,14.6,
2007-09,23.5,
2007-10,2.8,
2007-11,19.1,
2007-12,28.1,
2008-01,7.6,
2008-02,15.8,
2008-03,6.0,
2008-04,13.1,
2008-05,9.3,
2008-06,5.8,
2008-07,11.3,
2008-08,4.3,
2008-09,9.4,
2008-10,45.4,
2008-11,16.4,
2008-12,28.4,
2009-01,24.2,
2009-02,16.9,
2009-03,-4.4,
2009-04,14.9,
2009-05,-9.7,
2009-06,12.9,
2009-07,-5.7,
2009-08,-4.1,
2009-09,5.8,
2009-10,2.4,
2009-11,-2.5,
2009-12,-6.4,
2010-01,15.6,
2010-02,4.0,
2010-03,-0.2,
2010-04,5.8,
2010-05,6.1,
2010-06,8.2,
2010-07,-0.8,
2010-08,10.3,
2010-09,4.0,
2010-10,1.0,
2010-11,4.3,
2010-12,6.9,
2011-01,12.8,
2011-02,-3.1,
2011-03,13.4,
2011-04,8.7,
2011-05,7.8,
2011-06,7.2,
2011-07,11.7,
2011-08,20.6,
2011-09,9.1,
2011-10,4.6,
2011-11,10.8,
2011-12,-6.4,
2012-01,7.9,
2012-02,7.7,
2012-03,14.3,
2012-04,8.9,
2012-05,11.0,
2012-06,23.9,
2012-07,6.4,
2012-08,6.3,
2012-09,6.8,
2012-10,9.5,
2012-11,-7.3,
2012-12,-28.0,
2013-01,7.7,
2013-02,-2.1,
2013-03,8.7,
2013-04,6.4,
2013-05,6.2,
2013-06,4.0,
2013-07,5.7,
2013-08,5.2,
2013-09,0.3,
2013-10,8.1,
2013-11,1.2,
2013-12,0.7,
2014-01,7.3,
2014-02,12.0,
2014-03,1.7,
2014-04,9.2,
2014-05,8.7,
2014-06,-3.2,
2014-07,11.9,
2014-08,11.3,
2014-09,5.7,
2014-10,3.4,
2014-11,0.0,
2014-12,0.7,Provisional value
2015-01,12.2,
