"",BBK01.OELJ06H,BBK01.OELJ06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:50,
2002-01,0.389,
2002-04,0.385,
2002-07,0.386,
2002-10,0.367,
2003-01,0.361,
2003-04,0.351,
2003-07,0.348,
2003-10,0.321,
2004-01,0.310,
2004-04,0.295,
2004-07,0.274,
2004-10,0.270,
2005-01,0.252,
2005-04,0.243,
2005-07,0.236,
2005-10,0.225,
2006-01,0.230,
2006-04,0.231,
2006-07,0.233,
2006-10,0.236,
2007-01,0.235,
2007-04,0.232,
2007-07,0.232,
2007-10,0.223,
2008-01,0.209,
2008-04,0.210,
2008-07,0.215,
2008-10,0.214,
2009-01,0.203,
2009-04,0.192,
2009-07,0.180,
2009-10,0.187,
2010-01,0.185,
2010-04,0.193,
2010-07,0.191,
2010-10,0.190,
2011-01,0.224,
2011-04,0.246,
2011-07,0.247,
2011-10,0.238,
2012-01,0.234,
2012-04,0.250,
2012-07,0.259,
2012-10,0.256,
2013-01,0.269,
2013-04,0.263,
2013-07,0.277,
2013-10,0.275,
2014-01,0.268,
2014-04,0.248,
2014-07,0.232,
