"",BBK01.OEAC41N,BBK01.OEAC41N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:00,
2002-01,1.860,
2002-04,1.843,
2002-07,1.851,
2002-10,1.882,
2003-01,1.824,
2003-04,2.103,
2003-07,2.105,
2003-10,2.044,
2004-01,2.008,
2004-04,1.956,
2004-07,1.937,
2004-10,1.881,
2005-01,1.831,
2005-04,1.753,
2005-07,1.676,
2005-10,1.640,
2006-01,1.700,
2006-04,1.672,
2006-07,1.618,
2006-10,1.616,
2007-01,1.575,
2007-04,1.525,
2007-07,1.496,
2007-10,1.504,
2008-01,1.466,
2008-04,1.476,
2008-07,1.479,
2008-10,1.443,
2009-01,1.503,
2009-04,1.540,
2009-07,1.564,
2009-10,1.553,
2010-01,1.603,
2010-04,1.682,
2010-07,2.106,
2010-10,2.116,
2011-01,1.941,
2011-04,1.995,
2011-07,1.899,
2011-10,1.997,
2012-01,1.990,
2012-04,1.630,
2012-07,1.499,
2012-10,1.524,
2013-01,1.520,
2013-04,1.671,
2013-07,1.547,
2013-10,1.534,
2014-01,1.534,
2014-04,1.595,
2014-07,1.685,
