"",BBK01.OEHK02O,BBK01.OEHK02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:32,
2002-01,0.955,
2002-04,0.958,
2002-07,0.998,
2002-10,1.049,
2003-01,1.048,
2003-04,1.095,
2003-07,1.118,
2003-10,1.125,
2004-01,1.127,
2004-04,1.144,
2004-07,1.188,
2004-10,1.210,
2005-01,1.184,
2005-04,1.216,
2005-07,1.265,
2005-10,1.289,
2006-01,1.265,
2006-04,1.269,
2006-07,1.297,
2006-10,1.378,
2007-01,1.346,
2007-04,1.350,
2007-07,1.336,
2007-10,1.392,
2008-01,1.318,
2008-04,1.338,
2008-07,1.311,
2008-10,1.423,
2009-01,1.467,
2009-04,1.594,
2009-07,1.700,
2009-10,1.807,
2010-01,1.800,
2010-04,1.862,
2010-07,1.970,
2010-10,2.068,
2011-01,1.970,
2011-04,1.966,
2011-07,2.029,
2011-10,2.120,
2012-01,2.095,
2012-04,2.177,
2012-07,2.258,
2012-10,2.337,
2013-01,2.327,
2013-04,2.381,
2013-07,2.483,
2013-10,2.606,
2014-01,2.592,
2014-04,2.620,
2014-07,2.697,
