"",BBSF2.M.1.T.00000.SON01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Other funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:32,
2009-09,1908,
2009-10,2098,
2009-11,3967,
2009-12,4442,
2010-01,4686,
2010-02,4762,
2010-03,5100,
2010-04,5117,
2010-05,5367,
2010-06,5344,
2010-07,5747,
2010-08,6089,
2010-09,5708,
2010-10,6221,
2010-11,6290,
2010-12,6108,
2011-01,6025,
2011-02,6157,
2011-03,5973,
2011-04,6261,
2011-05,6300,
2011-06,6333,
2011-07,6602,
2011-08,7559,
2011-09,7547,
2011-10,10367,
2011-11,13987,
2011-12,13954,
2012-01,14361,
2012-02,14564,
2012-03,14306,
2012-04,14011,
2012-05,13896,
2012-06,13776,
2012-07,13743,
2012-08,14165,
2012-09,14273,
2012-10,14324,
2012-11,14913,
2012-12,15221,
2013-01,15469,
2013-02,15767,
2013-03,16102,
2013-04,17114,
2013-05,18291,
2013-06,17900,
2013-07,18402,
2013-08,18198,
2013-09,18738,
2013-10,19267,
2013-11,19430,
2013-12,19903,
2014-01,19793,
2014-02,20614,
2014-03,20735,
2014-04,20896,
2014-05,21585,
2014-06,21858,
2014-07,22337,
2014-08,27497,
2014-09,27432,
2014-10,27662,
2014-11,28462,
