"",BBK01.OEBI02T,BBK01.OEBI02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:23,
2002-01,1.687,
2002-04,1.954,
2002-07,1.954,
2002-10,2.097,
2003-01,2.027,
2003-04,2.042,
2003-07,2.096,
2003-10,2.187,
2004-01,2.107,
2004-04,2.326,
2004-07,2.288,
2004-10,2.334,
2005-01,2.638,
2005-04,2.738,
2005-07,2.843,
2005-10,2.807,
2006-01,2.794,
2006-04,2.975,
2006-07,2.716,
2006-10,2.962,
2007-01,2.948,
2007-04,2.926,
2007-07,2.905,
2007-10,3.002,
2008-01,2.941,
2008-04,2.926,
2008-07,2.887,
2008-10,3.631,
2009-01,3.988,
2009-04,4.252,
2009-07,4.500,
2009-10,4.822,
2010-01,4.658,
2010-04,4.681,
2010-07,4.632,
2010-10,5.111,
2011-01,4.580,
2011-04,4.670,
2011-07,4.908,
2011-10,4.660,
2012-01,4.365,
2012-04,4.118,
2012-07,4.354,
2012-10,4.551,
2013-01,4.249,
2013-04,4.376,
2013-07,4.551,
2013-10,4.638,
2014-01,4.468,
2014-04,4.353,
2014-07,4.670,
