"",BBK01.OEAE11N,BBK01.OEAE11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:37,
2002-01,2.618,
2002-04,2.622,
2002-07,2.691,
2002-10,2.857,
2003-01,2.632,
2003-04,2.493,
2003-07,2.556,
2003-10,2.390,
2004-01,2.260,
2004-04,2.372,
2004-07,2.379,
2004-10,2.178,
2005-01,2.128,
2005-04,2.071,
2005-07,2.064,
2005-10,1.922,
2006-01,1.687,
2006-04,1.777,
2006-07,1.963,
2006-10,2.086,
2007-01,2.021,
2007-04,2.188,
2007-07,2.107,
2007-10,2.056,
2008-01,2.075,
2008-04,2.198,
2008-07,2.188,
2008-10,2.290,
2009-01,2.079,
2009-04,2.129,
2009-07,2.014,
2009-10,1.930,
2010-01,1.881,
2010-04,1.821,
2010-07,2.076,
2010-10,1.877,
2011-01,1.902,
2011-04,1.984,
2011-07,2.092,
2011-10,2.058,
2012-01,1.908,
2012-04,1.802,
2012-07,1.867,
2012-10,1.685,
2013-01,1.618,
2013-04,1.577,
2013-07,1.629,
2013-10,1.646,
2014-01,1.620,
2014-04,1.493,
2014-07,1.476,
