"",BBSF2.M.1.T.00000.GEL01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.GEL01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Money market funds / Long-term debt securities / Germany,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:45,
2006-01,7507,
2006-02,7568,
2006-03,7605,
2006-04,7594,
2006-05,7303,
2006-06,7518,
2006-07,7474,
2006-08,7338,
2006-09,7308,
2006-10,6960,
2006-11,6469,
2006-12,6585,
2007-01,6366,
2007-02,6011,
2007-03,5746,
2007-04,5282,
2007-05,5065,
2007-06,5033,
2007-07,5056,
2007-08,4832,
2007-09,4758,
2007-10,4702,
2007-11,4401,
2007-12,4097,
2008-01,4165,
2008-02,4308,
2008-03,4246,
2008-04,4075,
2008-05,3729,
2008-06,3701,
2008-07,3788,
2008-08,3648,
2008-09,3192,
2008-10,2746,
2008-11,2714,
2008-12,2720,
2009-01,2716,
2009-02,2760,
2009-03,2856,
2009-04,2678,
2009-05,2890,
2009-06,2908,
2009-07,3043,
2009-08,3136,
2009-09,2979,
2009-10,2999,
2009-11,2975,
2009-12,2848,
2010-01,3037,
2010-02,3028,
2010-03,3477,
2010-04,3306,
2010-05,3334,
2010-06,3178,
2010-07,2994,
2010-08,3150,
2010-09,3199,
2010-10,3021,
2010-11,2923,
2010-12,2966,
2011-01,2990,
2011-02,2907,
2011-03,2931,
2011-04,3019,
2011-05,3053,
2011-06,3051,
2011-07,2743,
2011-08,2995,
2011-09,3044,
2011-10,3125,
2011-11,2996,
2011-12,3039,
2012-01,2917,
2012-02,2816,
2012-03,2789,
2012-04,2875,
2012-05,2941,
2012-06,2852,
2012-07,2962,
2012-08,2583,
2012-09,2513,
2012-10,2864,
2012-11,2741,
2012-12,2661,
2013-01,2534,
2013-02,2452,
2013-03,2398,
2013-04,2341,
2013-05,2213,
2013-06,2275,
2013-07,2325,
2013-08,2337,
2013-09,2227,
2013-10,1914,
2013-11,1797,
2013-12,1234,
2014-01,1310,
2014-02,1190,
2014-03,1010,
2014-04,959,
2014-05,922,
2014-06,882,
2014-07,777,
2014-08,568,
2014-09,683,
2014-10,635,
2014-11,625,
