"",BBK01.OECL02T,BBK01.OECL02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:30,
2002-01,0.417,
2002-04,0.576,
2002-07,0.586,
2002-10,0.593,
2003-01,0.551,
2003-04,0.540,
2003-07,0.522,
2003-10,0.548,
2004-01,0.509,
2004-04,0.506,
2004-07,0.481,
2004-10,0.502,
2005-01,0.670,
2005-04,0.666,
2005-07,0.667,
2005-10,0.690,
2006-01,0.692,
2006-04,0.686,
2006-07,0.671,
2006-10,0.683,
2007-01,0.678,
2007-04,0.718,
2007-07,0.746,
2007-10,0.804,
2008-01,0.801,
2008-04,0.796,
2008-07,0.823,
2008-10,0.960,
2009-01,0.973,
2009-04,0.931,
2009-07,0.916,
2009-10,0.940,
2010-01,0.957,
2010-04,0.968,
2010-07,0.993,
2010-10,1.036,
2011-01,1.013,
2011-04,1.016,
2011-07,1.074,
2011-10,1.100,
2012-01,1.090,
2012-04,1.140,
2012-07,1.159,
2012-10,1.224,
2013-01,1.256,
2013-04,1.273,
2013-07,1.288,
2013-10,1.243,
2014-01,1.261,
2014-04,1.286,
2014-07,1.370,
