"",BBK01.OEBL06Q,BBK01.OEBL06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:48,
2002-01,0.080,
2002-04,0.075,
2002-07,0.064,
2002-10,0.058,
2003-01,0.054,
2003-04,0.062,
2003-07,0.063,
2003-10,0.062,
2004-01,0.062,
2004-04,0.062,
2004-07,0.059,
2004-10,0.056,
2005-01,0.058,
2005-04,0.056,
2005-07,0.058,
2005-10,0.056,
2006-01,0.056,
2006-04,0.059,
2006-07,0.060,
2006-10,0.061,
2007-01,0.037,
2007-04,0.040,
2007-07,0.039,
2007-10,0.044,
2008-01,0.057,
2008-04,0.065,
2008-07,0.070,
2008-10,0.080,
2009-01,0.087,
2009-04,0.073,
2009-07,0.066,
2009-10,0.062,
2010-01,0.077,
2010-04,0.099,
2010-07,0.116,
2010-10,0.126,
2011-01,0.143,
2011-04,0.170,
2011-07,0.180,
2011-10,0.180,
2012-01,0.174,
2012-04,0.179,
2012-07,0.170,
2012-10,0.154,
2013-01,0.135,
2013-04,0.110,
2013-07,0.108,
2013-10,0.099,
2014-01,0.092,
2014-04,0.075,
2014-07,0.067,
