"",BBK01.CEFT0J,BBK01.CEFT0J_FLAGS
"",Savings deposits  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:05,
1999-01,604.3,
1999-04,602.7,
1999-07,600.9,
1999-10,595.5,
2000-01,585.7,
2000-04,573.3,
2000-07,566.5,
2000-10,555.8,
2001-01,553.3,
2001-04,551.4,
2001-07,552.9,
2001-10,558.6,
2002-01,559.1,
2002-04,551.3,
2002-07,554.4,
2002-10,559.9,
2003-01,567.4,
2003-04,567.8,
2003-07,572.2,
2003-10,574.3,
2004-01,577.9,
2004-04,579.5,
2004-07,583.3,
2004-10,586.3,
2005-01,590.9,
2005-04,591.2,
2005-07,589.8,
2005-10,586.4,
2006-01,587.6,
2006-04,585.7,
2006-07,580.7,
2006-10,571.1,
2007-01,566.7,
2007-04,559.1,
2007-07,551.7,
2007-10,542.4,
2008-01,534.7,
2008-04,528.3,
2008-07,518.0,
2008-10,523.1,
2009-01,537.7,
2009-04,551.4,
2009-07,568.3,
2009-10,577.5,
2010-01,588.7,
2010-04,589.7,
2010-07,593.2,
2010-10,599.2,
2011-01,606.4,
2011-04,603.6,
2011-07,602.0,
2011-10,599.0,
2012-01,604.1,
2012-04,602.1,
2012-07,600.9,
2012-10,597.8,
2013-01,595.5,
2013-04,591.6,
2013-07,589.4,
2013-10,589.6,
2014-01,589.0,
2014-04,586.4,
2014-07,589.4,
