"",BBNZ1.Q.DE.Y.G.0155.A,BBNZ1.Q.DE.Y.G.0155.A_FLAGS
"",Germany / National accounts / Use of GDP / Premises / At current prices / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:02,
1991-01,45.957,
1991-04,47.191,
1991-07,48.782,
1991-10,51.190,
1992-01,55.191,
1992-04,55.450,
1992-07,55.725,
1992-10,58.013,
1993-01,58.234,
1993-04,59.021,
1993-07,60.326,
1993-10,59.920,
1994-01,63.326,
1994-04,64.630,
1994-07,64.839,
1994-10,66.775,
1995-01,64.753,
1995-04,66.411,
1995-07,65.396,
1995-10,64.477,
1996-01,58.598,
1996-04,65.134,
1996-07,64.857,
1996-10,64.090,
1997-01,60.775,
1997-04,62.938,
1997-07,62.715,
1997-10,62.261,
1998-01,63.086,
1998-04,61.106,
1998-07,61.374,
1998-10,59.653,
1999-01,60.774,
1999-04,61.280,
1999-07,62.318,
1999-10,61.612,
2000-01,61.939,
2000-04,60.572,
2000-07,59.775,
2000-10,58.948,
2001-01,58.871,
2001-04,58.180,
2001-07,57.511,
2001-10,57.078,
2002-01,55.918,
2002-04,54.063,
2002-07,53.850,
2002-10,52.993,
2003-01,52.725,
2003-04,52.920,
2003-07,52.973,
2003-10,52.864,
2004-01,52.208,
2004-04,51.105,
2004-07,50.384,
2004-10,50.305,
2005-01,48.639,
2005-04,49.535,
2005-07,49.959,
2005-10,50.673,
2006-01,49.278,
2006-04,52.912,
2006-07,54.897,
2006-10,57.087,
2007-01,58.026,
2007-04,55.109,
2007-07,56.055,
2007-10,57.279,
2008-01,59.553,
2008-04,56.901,
2008-07,57.200,
2008-10,57.339,
2009-01,56.236,
2009-04,56.059,
2009-07,56.466,
2009-10,57.563,
2010-01,55.424,
2010-04,60.649,
2010-07,60.240,
2010-10,58.865,
2011-01,64.732,
2011-04,65.868,
2011-07,65.531,
2011-10,67.073,
2012-01,67.987,
2012-04,68.796,
2012-07,69.096,
2012-10,68.939,
2013-01,67.333,
2013-04,69.721,
2013-07,71.316,
2013-10,72.166,
2014-01,75.554,
2014-04,72.967,
2014-07,72.252,
2014-10,74.022,
