"",BBFB1.Q.N.DE.I7.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:52,
1991-01,-867.039,
1991-04,-625.521,
1991-07,-703.938,
1991-10,-712.217,
1992-01,-688.736,
1992-04,-663.333,
1992-07,-733.709,
1992-10,-830.204,
1993-01,-612.131,
1993-04,-710.357,
1993-07,-725.448,
1993-10,-640.501,
1994-01,-749.994,
1994-04,-750.880,
1994-07,-803.549,
1994-10,-657.155,
1995-01,-756.463,
1995-04,-619.076,
1995-07,-748.049,
1995-10,-591.725,
1996-01,-813.457,
1996-04,-716.069,
1996-07,-514.995,
1996-10,-663.969,
1997-01,-749.859,
1997-04,-754.634,
1997-07,-863.213,
1997-10,-529.639,
1998-01,-705.005,
1998-04,-491.808,
1998-07,-954.792,
1998-10,-744.289,
1999-01,-723.820,
1999-04,-584.582,
1999-07,-677.341,
1999-10,-643.918,
2000-01,-886.659,
2000-04,-719.951,
2000-07,-829.824,
2000-10,-819.132,
2001-01,-932.233,
2001-04,-855.725,
2001-07,-792.450,
2001-10,-874.952,
2002-01,-994.693,
2002-04,-716.539,
2002-07,-727.216,
2002-10,-846.871,
2003-01,-923.750,
2003-04,-775.205,
2003-07,-930.218,
2003-10,-897.695,
2004-01,-866.953,
2004-04,-748.811,
2004-07,-1054.057,
2004-10,-1004.068,
2005-01,-935.398,
2005-04,-809.672,
2005-07,-912.942,
2005-10,-986.418,
2006-01,-886.785,
2006-04,-472.958,
2006-07,-927.675,
2006-10,-986.176,
2007-01,-1281.997,
2007-04,-906.286,
2007-07,-1242.901,
2007-10,-1486.305,
2008-01,-976.803,
2008-04,-406.939,
2008-07,-1245.467,
2008-10,-1212.106,
2009-01,-1148.298,
2009-04,-604.889,
2009-07,-1315.256,
2009-10,-1422.360,
2010-01,-1399.429,
2010-04,-1101.310,
2010-07,-1696.057,
2010-10,-1727.671,
2011-01,-1179.242,
2011-04,-525.616,
2011-07,-1537.502,
2011-10,-1226.939,
2012-01,-1335.553,
2012-04,-561.684,
2012-07,-1437.571,
2012-10,-1550.897,
2013-01,-1171.930,
2013-04,-580.359,
2013-07,-809.407,
2013-10,-1299.351,
2014-01,-810.413,Provisional value
2014-04,-278.630,Provisional value
2014-07,-1018.559,Provisional value
