"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.NO.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.NO.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Norway / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:17,
2009-09,3457,
2009-10,3321,
2009-11,3519,
2009-12,3535,
2010-01,3644,
2010-02,3623,
2010-03,3946,
2010-04,4198,
2010-05,4299,
2010-06,4583,
2010-07,4687,
2010-08,5325,
2010-09,3996,
2010-10,4063,
2010-11,3916,
2010-12,3967,
2011-01,3882,
2011-02,4190,
2011-03,4096,
2011-04,3997,
2011-05,3898,
2011-06,4067,
2011-07,4160,
2011-08,4180,
2011-09,4163,
2011-10,4310,
2011-11,4233,
2011-12,4351,
2012-01,4711,
2012-02,1625,
2012-03,1769,
2012-04,1757,
2012-05,1785,
2012-06,1885,
2012-07,1957,
2012-08,1987,
2012-09,1870,
2012-10,1892,
2012-11,2090,
2012-12,2063,
2013-01,2199,
2013-02,2274,
2013-03,2320,
2013-04,2436,
2013-05,2442,
2013-06,2289,
2013-07,2246,
2013-08,2262,
2013-09,2293,
2013-10,2285,
2013-11,2324,
2013-12,2284,
2014-01,1368,
2014-02,1313,
2014-03,1283,
2014-04,1282,
2014-05,1311,
2014-06,1320,
2014-07,1341,
2014-08,1332,
2014-09,1305,
2014-10,1302,
2014-11,1280,
