"",BBK01.OEAF03I,BBK01.OEAF03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:32,
2002-01,14.067,
2002-04,14.073,
2002-07,13.660,
2002-10,13.569,
2003-01,13.530,
2003-04,13.493,
2003-07,13.926,
2003-10,13.925,
2004-01,14.420,
2004-04,14.488,
2004-07,15.502,
2004-10,15.550,
2005-01,16.541,
2005-04,16.743,
2005-07,17.182,
2005-10,17.845,
2006-01,17.990,
2006-04,18.122,
2006-07,18.957,
2006-10,19.341,
2007-01,20.573,
2007-04,20.932,
2007-07,21.477,
2007-10,21.656,
2008-01,22.793,
2008-04,24.049,
2008-07,24.957,
2008-10,25.959,
2009-01,26.202,
2009-04,27.682,
2009-07,27.588,
2009-10,26.607,
2010-01,27.099,
2010-04,27.080,
2010-07,26.633,
2010-10,26.081,
2011-01,26.000,
2011-04,25.742,
2011-07,25.562,
2011-10,25.336,
2012-01,25.100,
2012-04,25.131,
2012-07,24.866,
2012-10,24.638,
2013-01,24.285,
2013-04,24.096,
2013-07,23.853,
2013-10,23.703,
2014-01,23.427,
2014-04,23.324,
2014-07,23.306,
