"",BBK01.OU1174,BBK01.OU1174_FLAGS
"",Balance sheet total (up to December 1998 Volume of business) / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:15:02,
1950-06,1.208,
1950-07,-,Nothing exists
1950-08,-,Nothing exists
1950-09,-,Nothing exists
1950-10,-,Nothing exists
1950-11,-,Nothing exists
1950-12,1.348,
1951-01,-,Nothing exists
1951-02,-,Nothing exists
1951-03,-,Nothing exists
1951-04,-,Nothing exists
1951-05,-,Nothing exists
1951-06,1.370,
1951-07,-,Nothing exists
1951-08,-,Nothing exists
1951-09,-,Nothing exists
1951-10,-,Nothing exists
1951-11,-,Nothing exists
1951-12,1.569,
1952-01,-,Nothing exists
1952-02,-,Nothing exists
1952-03,-,Nothing exists
1952-04,-,Nothing exists
1952-05,-,Nothing exists
1952-06,1.692,
1952-07,-,Nothing exists
1952-08,-,Nothing exists
1952-09,-,Nothing exists
1952-10,-,Nothing exists
1952-11,-,Nothing exists
1952-12,1.955,
1953-01,-,Nothing exists
1953-02,-,Nothing exists
1953-03,-,Nothing exists
1953-04,-,Nothing exists
1953-05,-,Nothing exists
1953-06,2.157,
1953-07,-,Nothing exists
1953-08,-,Nothing exists
1953-09,-,Nothing exists
1953-10,-,Nothing exists
1953-11,-,Nothing exists
1953-12,2.439,
1954-01,-,Nothing exists
1954-02,-,Nothing exists
1954-03,-,Nothing exists
1954-04,-,Nothing exists
1954-05,-,Nothing exists
1954-06,2.743,
1954-07,-,Nothing exists
1954-08,-,Nothing exists
1954-09,-,Nothing exists
1954-10,-,Nothing exists
1954-11,-,Nothing exists
1954-12,3.025,
1955-01,-,Nothing exists
1955-02,-,Nothing exists
1955-03,-,Nothing exists
1955-04,-,Nothing exists
1955-05,-,Nothing exists
1955-06,3.243,
1955-07,-,Nothing exists
1955-08,-,Nothing exists
1955-09,-,Nothing exists
1955-10,-,Nothing exists
1955-11,-,Nothing exists
1955-12,3.463,
1956-01,-,Nothing exists
1956-02,-,Nothing exists
1956-03,-,Nothing exists
1956-04,-,Nothing exists
1956-05,-,Nothing exists
1956-06,3.678,
1956-07,-,Nothing exists
1956-08,-,Nothing exists
1956-09,-,Nothing exists
1956-10,-,Nothing exists
1956-11,-,Nothing exists
1956-12,3.893,
1957-01,-,Nothing exists
1957-02,-,Nothing exists
1957-03,-,Nothing exists
1957-04,-,Nothing exists
1957-05,-,Nothing exists
1957-06,4.153,
1957-07,-,Nothing exists
1957-08,-,Nothing exists
1957-09,-,Nothing exists
1957-10,-,Nothing exists
1957-11,-,Nothing exists
1957-12,4.515,
1958-01,-,Nothing exists
1958-02,-,Nothing exists
1958-03,-,Nothing exists
1958-04,-,Nothing exists
1958-05,-,Nothing exists
1958-06,4.864,
1958-07,-,Nothing exists
1958-08,-,Nothing exists
1958-09,-,Nothing exists
1958-10,-,Nothing exists
1958-11,-,Nothing exists
1958-12,5.283,
1959-01,-,Nothing exists
1959-02,-,Nothing exists
1959-03,-,Nothing exists
1959-04,-,Nothing exists
1959-05,-,Nothing exists
1959-06,5.708,
1959-07,-,Nothing exists
1959-08,-,Nothing exists
1959-09,-,Nothing exists
1959-10,-,Nothing exists
1959-11,-,Nothing exists
1959-12,6.292,
1960-01,-,Nothing exists
1960-02,-,Nothing exists
1960-03,-,Nothing exists
1960-04,-,Nothing exists
1960-05,-,Nothing exists
1960-06,6.770,
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,7.238,
1961-01,-,Nothing exists
1961-02,-,Nothing exists
1961-03,-,Nothing exists
1961-04,-,Nothing exists
1961-05,-,Nothing exists
1961-06,7.737,
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,8.325,
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,8.851,
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,9.663,
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,10.295,
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,11.168,
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,11.922,
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,12.943,
1965-01,13.063,
1965-02,13.253,
1965-03,13.377,
1965-04,13.588,
1965-05,13.851,
1965-06,13.966,
1965-07,14.255,
1965-08,14.482,
1965-09,14.628,
1965-10,14.884,
1965-11,15.098,
1965-12,15.554,
1966-01,15.695,
1966-02,15.880,
1966-03,15.944,
1966-04,16.189,
1966-05,16.399,
1966-06,16.510,
1966-07,16.794,
1966-08,17.030,
1966-09,17.088,
1966-10,17.354,
1966-11,17.534,
1966-12,17.542,
1967-01,17.634,
1967-02,17.847,
1967-03,17.833,
1967-04,18.097,
1967-05,18.285,
1967-06,18.367,
1967-07,18.641,
1967-08,18.917,
1967-09,19.084,
1967-10,19.403,
1967-11,19.686,
1967-12,19.833,
1968-01,19.933,
1968-02,20.162,
1968-03,20.281,
1968-04,20.552,
1968-05,20.757,
1968-06,21.002,
1968-07,21.356,
1968-08,21.702,
1968-09,21.917,
1968-10,22.260,
1968-11,22.614,
1968-12,23.425,
1969-01,23.540,
1969-02,23.810,
1969-03,24.045,
1969-04,24.364,
1969-05,24.696,
1969-06,24.993,
1969-07,25.443,
1969-08,25.864,
1969-09,26.084,
1969-10,26.452,
1969-11,26.974,
1969-12,27.342,
1970-01,27.520,
1970-02,27.962,
1970-03,28.195,
1970-04,28.578,
1970-05,28.976,
1970-06,29.412,
1970-07,30.037,
1970-08,30.482,
1970-09,30.831,
1970-10,31.200,
1970-11,31.807,
1970-12,32.233,
1971-01,32.246,
1971-02,32.691,
1971-03,32.976,
1971-04,33.446,
1971-05,33.924,
1971-06,34.554,
1971-07,35.338,
1971-08,35.996,
1971-09,36.473,
1971-10,37.107,
1971-11,37.699,
1971-12,38.103,
1972-01,37.994,
1972-02,38.475,
1972-03,38.876,
1972-04,39.619,
1972-05,40.139,
1972-06,40.927,
1972-07,42.016,
1972-08,42.607,
1972-09,43.187,
1972-10,44.055,
1972-11,45.022,
1972-12,45.789,
1973-01,45.615,
1973-02,45.967,
1973-03,46.508,
1973-04,47.064,
1973-05,47.506,
1973-06,47.977,
1973-07,48.563,
1973-08,48.760,
1973-09,49.237,
1973-10,50.093,
1973-11,50.992,
1973-12,55.343,
1974-01,54.928,
1974-02,55.451,
1974-03,56.047,
1974-04,56.685,
1974-05,57.000,
1974-06,57.510,
1974-07,58.261,
1974-08,58.560,
1974-09,59.111,
1974-10,59.671,
1974-11,61.026,
1974-12,61.906,
1975-01,61.416,
1975-02,61.889,
1975-03,62.224,
1975-04,62.994,
1975-05,63.441,
1975-06,63.999,
1975-07,64.732,
1975-08,65.449,
1975-09,66.188,
1975-10,66.968,
1975-11,68.653,
1975-12,69.611,
1976-01,69.078,
1976-02,69.637,
1976-03,70.080,
1976-04,70.613,
1976-05,71.607,
1976-06,72.665,
1976-07,73.323,
1976-08,74.172,
1976-09,74.921,
1976-10,75.813,
1976-11,77.563,
1976-12,78.808,
1977-01,78.654,
1977-02,79.314,
1977-03,79.796,
1977-04,80.673,
1977-05,81.443,
1977-06,82.446,
1977-07,83.058,
1977-08,83.843,
1977-09,84.501,
1977-10,85.735,
1977-11,87.726,
