"",BBDE1.M.DE.Y.JAA9.P2XF50500.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.C.V.ABA.A_FLAGS
"","Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - non-residential buildings, total / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-15 11:09:26,
1994-01,3.98,
1994-02,3.55,
1994-03,3.47,
1994-04,3.49,
1994-05,3.62,
1994-06,3.31,
1994-07,3.70,
1994-08,2.95,
1994-09,3.04,
1994-10,4.01,
1994-11,4.24,
1994-12,3.72,
1995-01,3.53,
1995-02,3.43,
1995-03,3.47,
1995-04,3.59,
1995-05,3.95,
1995-06,3.18,
1995-07,3.37,
1995-08,3.59,
1995-09,3.05,
1995-10,3.02,
1995-11,2.85,
1995-12,3.70,
1996-01,3.04,
1996-02,2.73,
1996-03,3.38,
1996-04,3.15,
1996-05,3.02,
1996-06,3.03,
1996-07,3.39,
1996-08,2.77,
1996-09,3.08,
1996-10,3.23,
1996-11,2.96,
1996-12,3.75,
1997-01,3.18,
1997-02,3.23,
1997-03,2.88,
1997-04,2.70,
1997-05,2.92,
1997-06,2.93,
1997-07,2.58,
1997-08,2.91,
1997-09,2.98,
1997-10,3.05,
1997-11,2.59,
1997-12,2.76,
1998-01,2.59,
1998-02,2.76,
1998-03,2.54,
1998-04,2.98,
1998-05,3.03,
1998-06,2.98,
1998-07,3.07,
1998-08,2.93,
1998-09,2.80,
1998-10,2.89,
1998-11,2.88,
1998-12,2.75,
1999-01,2.84,
1999-02,2.75,
1999-03,3.05,
1999-04,2.70,
1999-05,2.59,
1999-06,2.93,
1999-07,2.48,
1999-08,2.98,
1999-09,3.06,
1999-10,2.53,
1999-11,2.81,
1999-12,2.39,
2000-01,2.80,
2000-02,2.48,
2000-03,2.96,
2000-04,2.75,
2000-05,2.68,
2000-06,2.88,
2000-07,2.65,
2000-08,2.61,
2000-09,3.10,
2000-10,2.44,
2000-11,2.71,
2000-12,2.56,
2001-01,2.71,
2001-02,2.85,
2001-03,3.06,
2001-04,2.97,
2001-05,2.85,
2001-06,2.51,
2001-07,2.76,
2001-08,2.54,
2001-09,2.43,
2001-10,2.85,
2001-11,2.91,
2001-12,2.46,
2002-01,2.73,
2002-02,2.85,
2002-03,2.36,
2002-04,2.71,
2002-05,2.43,
2002-06,2.27,
2002-07,2.46,
2002-08,2.13,
2002-09,2.27,
2002-10,2.51,
2002-11,2.35,
2002-12,2.29,
2003-01,2.27,
2003-02,2.14,
2003-03,2.27,
2003-04,1.98,
2003-05,2.76,
2003-06,2.58,
2003-07,2.02,
2003-08,2.04,
2003-09,2.10,
2003-10,1.88,
2003-11,1.96,
2003-12,2.13,
2004-01,1.88,
2004-02,2.04,
2004-03,2.04,
2004-04,1.87,
2004-05,1.92,
2004-06,2.14,
2004-07,1.93,
2004-08,1.89,
2004-09,1.94,
2004-10,1.92,
2004-11,1.78,
2004-12,1.93,
2005-01,1.80,
2005-02,1.80,
2005-03,2.23,
2005-04,1.74,
2005-05,1.86,
2005-06,1.67,
2005-07,1.81,
2005-08,1.94,
2005-09,2.03,
2005-10,1.96,
2005-11,1.94,
2005-12,1.90,
2006-01,1.86,
2006-02,2.02,
2006-03,2.26,
2006-04,2.15,
2006-05,2.07,
2006-06,2.11,
2006-07,2.18,
2006-08,2.15,
2006-09,2.13,
2006-10,2.01,
2006-11,1.89,
2006-12,2.01,
2007-01,2.07,
2007-02,1.96,
2007-03,1.89,
2007-04,2.79,
2007-05,2.23,
2007-06,2.16,
2007-07,2.38,
2007-08,2.36,
2007-09,2.58,
2007-10,2.19,
2007-11,2.94,
2007-12,2.41,
2008-01,2.40,
2008-02,2.57,
2008-03,2.65,
2008-04,2.75,
2008-05,2.87,
2008-06,3.01,
2008-07,2.72,
2008-08,2.63,
2008-09,2.52,
2008-10,2.65,
2008-11,2.71,
2008-12,2.65,
2009-01,2.90,
2009-02,2.48,
2009-03,2.60,
2009-04,2.56,
2009-05,2.51,
2009-06,2.45,
2009-07,2.51,
2009-08,2.67,
2009-09,2.28,
2009-10,2.74,
2009-11,2.57,
2009-12,2.91,
2010-01,2.29,
2010-02,2.56,
2010-03,2.45,
2010-04,2.50,
2010-05,2.33,
2010-06,2.29,
2010-07,2.32,
2010-08,2.36,
2010-09,2.41,
2010-10,2.32,
2010-11,2.26,
2010-12,2.26,
2011-01,2.36,
2011-02,2.63,
2011-03,2.63,
2011-04,2.40,
2011-05,2.55,
2011-06,2.49,
2011-07,2.07,
2011-08,2.37,
2011-09,2.63,
2011-10,2.95,
2011-11,2.83,
2011-12,2.95,
2012-01,2.53,
2012-02,2.50,
2012-03,2.40,
2012-04,2.48,
2012-05,2.85,
2012-06,2.94,
2012-07,2.70,
2012-08,2.50,
2012-09,2.46,
2012-10,2.56,
2012-11,2.72,
2012-12,2.51,
2013-01,3.02,
2013-02,2.84,
2013-03,2.71,
2013-04,2.82,
2013-05,2.54,
2013-06,2.52,
2013-07,2.88,
2013-08,2.78,
2013-09,3.03,
2013-10,2.82,
2013-11,2.47,
2013-12,2.54,
2014-01,2.82,
2014-02,3.02,
2014-03,2.71,
2014-04,3.08,
2014-05,2.66,
2014-06,2.41,
2014-07,2.63,
2014-08,2.77,
2014-09,2.44,
2014-10,2.69,
2014-11,2.54,
