"",BBK01.OEXM05L,BBK01.OEXM05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:56,
2002-01,0.660,
2002-04,0.608,
2002-07,0.628,
2002-10,0.537,
2003-01,0.510,
2003-04,0.476,
2003-07,0.459,
2003-10,0.476,
2004-01,0.463,
2004-04,0.313,
2004-07,0.291,
2004-10,0.386,
2005-01,0.404,
2005-04,0.487,
2005-07,0.513,
2005-10,0.743,
2006-01,0.900,
2006-04,1.013,
2006-07,1.049,
2006-10,1.106,
2007-01,1.244,
2007-04,1.320,
2007-07,1.356,
2007-10,1.449,
2008-01,1.633,
2008-04,1.549,
2008-07,1.577,
2008-10,1.540,
2009-01,1.684,
2009-04,1.659,
2009-07,1.765,
2009-10,1.724,
2010-01,1.822,
2010-04,1.664,
2010-07,1.880,
2010-10,1.939,
2011-01,1.982,
2011-04,2.124,
2011-07,2.036,
2011-10,1.946,
2012-01,1.945,
2012-04,2.196,
2012-07,2.203,
2012-10,2.253,
2013-01,2.147,
2013-04,2.194,
2013-07,2.317,
2013-10,2.321,
2014-01,2.292,
2014-04,2.250,
2014-07,2.370,
