"",BBK01.CELC03,BBK01.CELC03_FLAGS
"",Financial derivatives and employee stock options debtor: Total                           creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:28,
1999-01,11.1,
1999-04,11.1,
1999-07,-0.4,
1999-10,-0.4,
2000-01,0.4,
2000-04,0.4,
2000-07,13.2,
2000-10,13.2,
2001-01,8.8,
2001-04,8.8,
2001-07,16.1,
2001-10,16.1,
2002-01,8.6,
2002-04,5.9,
2002-07,22.6,
2002-10,7.2,
2003-01,17.3,
2003-04,9.3,
2003-07,-13.0,
2003-10,-12.5,
2004-01,35.8,
2004-04,-19.3,
2004-07,0.0,
2004-10,-144.0,
2005-01,18.1,
2005-04,-26.8,
2005-07,153.4,
2005-10,111.9,
2006-01,137.6,
2006-04,118.7,
2006-07,71.0,
2006-10,90.6,
2007-01,36.6,
2007-04,21.4,
2007-07,-24.6,
2007-10,5.0,
2008-01,39.3,
2008-04,-245.7,
2008-07,-180.3,
2008-10,-271.4,
2009-01,351.6,
2009-04,-373.7,
2009-07,36.8,
2009-10,10.1,
2010-01,-18.9,
2010-04,151.5,
2010-07,10.8,
2010-10,-246.3,
2011-01,-92.4,
2011-04,53.3,
2011-07,271.6,
2011-10,-289.4,
2012-01,-78.0,
2012-04,97.2,
2012-07,-3.5,
2012-10,-105.6,
2013-01,28.4,
2013-04,-29.0,
2013-07,17.4,
2013-10,-7.6,
2014-01,-15.0,
2014-04,41.7,
2014-07,85.3,
