"",BBSF2.M.1.P.00000.AKT01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.AKT01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Public funds / Equity funds / Long-term debt securities / Germany,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:11,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,140,
1993-05,144,
1993-06,144,
1993-07,139,
1993-08,141,
1993-09,143,
1993-10,146,
1993-11,138,
1993-12,143,
1994-01,110,
1994-02,108,
1994-03,114,
1994-04,119,
1994-05,119,
1994-06,144,
1994-07,149,
1994-08,128,
1994-09,152,
1994-10,150,
1994-11,153,
1994-12,152,
1995-01,187,
1995-02,156,
1995-03,203,
1995-04,208,
1995-05,209,
1995-06,202,
1995-07,171,
1995-08,179,
1995-09,176,
1995-10,176,
1995-11,235,
1995-12,247,
1996-01,222,
1996-02,192,
1996-03,156,
1996-04,159,
1996-05,217,
1996-06,215,
1996-07,208,
1996-08,211,
1996-09,217,
1996-10,217,
1996-11,222,
1996-12,222,
1997-01,151,
1997-02,154,
1997-03,147,
1997-04,152,
1997-05,159,
1997-06,157,
1997-07,156,
1997-08,164,
1997-09,157,
1997-10,170,
1997-11,171,
1997-12,179,
1998-01,179,
1998-02,178,
1998-03,176,
1998-04,161,
1998-05,162,
1998-06,155,
1998-07,152,
1998-08,164,
1998-09,182,
1998-10,161,
1998-11,208,
1998-12,202,
1999-01,206,
1999-02,202,
1999-03,199,
1999-04,200,
1999-05,199,
1999-06,215,
1999-07,270,
1999-08,270,
1999-09,269,
1999-10,271,
1999-11,271,
1999-12,214,
2000-01,215,
2000-02,278,
2000-03,159,
2000-04,199,
2000-05,208,
2000-06,274,
2000-07,265,
2000-08,283,
2000-09,266,
2000-10,264,
2000-11,264,
2000-12,304,
2001-01,358,
2001-02,372,
2001-03,378,
2001-04,396,
2001-05,382,
2001-06,372,
2001-07,364,
2001-08,343,
2001-09,324,
2001-10,266,
2001-11,193,
2001-12,176,
2002-01,167,
2002-02,164,
2002-03,163,
2002-04,163,
2002-05,156,
2002-06,170,
2002-07,192,
2002-08,184,
2002-09,209,
2002-10,194,
2002-11,207,
2002-12,174,
2003-01,223,
2003-02,220,
2003-03,215,
2003-04,192,
2003-05,186,
2003-06,166,
2003-07,157,
2003-08,166,
2003-09,164,
2003-10,184,
2003-11,178,
2003-12,180,
2004-01,168,
2004-02,142,
2004-03,137,
2004-04,129,
2004-05,130,
2004-06,134,
2004-07,128,
2004-08,132,
2004-09,130,
2004-10,132,
2004-11,134,
2004-12,137,
2005-01,132,
2005-02,139,
2005-03,113,
2005-04,108,
2005-05,111,
2005-06,106,
2005-07,122,
2005-08,118,
2005-09,120,
2005-10,124,
2005-11,115,
2005-12,143,
2006-01,271,
2006-02,292,
2006-03,299,
2006-04,312,
2006-05,468,
2006-06,418,
2006-07,452,
2006-08,423,
2006-09,371,
2006-10,383,
2006-11,361,
2006-12,346,
2007-01,363,
2007-02,348,
2007-03,469,
2007-04,410,
2007-05,388,
2007-06,435,
2007-07,540,
2007-08,709,
2007-09,722,
2007-10,709,
2007-11,1013,
2007-12,1030,
2008-01,940,
2008-02,882,
2008-03,850,
2008-04,897,
2008-05,893,
2008-06,804,
2008-07,821,
2008-08,827,
2008-09,830,
2008-10,695,
2008-11,691,
2008-12,772,
2009-01,709,
2009-02,639,
2009-03,617,
2009-04,489,
2009-05,431,
2009-06,410,
2009-07,452,
2009-08,457,
2009-09,391,
2009-10,395,
2009-11,414,
2009-12,453,
2010-01,474,
2010-02,476,
2010-03,432,
2010-04,441,
2010-05,424,
2010-06,425,
2010-07,407,
2010-08,413,
2010-09,447,
2010-10,426,
2010-11,434,
2010-12,462,
2011-01,468,
2011-02,453,
2011-03,532,
2011-04,500,
2011-05,466,
2011-06,444,
2011-07,455,
2011-08,538,
2011-09,597,
2011-10,613,
2011-11,585,
2011-12,555,
2012-01,531,
2012-02,480,
2012-03,482,
2012-04,489,
2012-05,504,
2012-06,501,
2012-07,504,
2012-08,500,
2012-09,495,
2012-10,496,
2012-11,491,
2012-12,495,
2013-01,468,
2013-02,465,
2013-03,458,
2013-04,384,
2013-05,406,
2013-06,405,
2013-07,398,
2013-08,407,
2013-09,431,
2013-10,449,
2013-11,393,
2013-12,326,
2014-01,345,
2014-02,350,
2014-03,352,
2014-04,348,
2014-05,365,
2014-06,455,
2014-07,556,
2014-08,546,
2014-09,563,
2014-10,575,
2014-11,591,
