"",BBK01.OEBB02K,BBK01.OEBB02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:07,
2002-01,14.217,
2002-04,13.725,
2002-07,12.636,
2002-10,12.009,
2003-01,11.321,
2003-04,11.692,
2003-07,12.170,
2003-10,12.636,
2004-01,11.318,
2004-04,11.168,
2004-07,11.514,
2004-10,11.551,
2005-01,10.127,
2005-04,9.966,
2005-07,9.818,
2005-10,11.053,
2006-01,10.197,
2006-04,10.817,
2006-07,12.003,
2006-10,11.544,
2007-01,11.244,
2007-04,11.166,
2007-07,12.333,
2007-10,12.831,
2008-01,13.708,
2008-04,14.126,
2008-07,14.137,
2008-10,13.925,
2009-01,14.519,
2009-04,13.199,
2009-07,12.914,
2009-10,12.947,
2010-01,13.535,
2010-04,15.128,
2010-07,12.459,
2010-10,12.180,
2011-01,11.513,
2011-04,11.387,
2011-07,11.676,
2011-10,11.165,
2012-01,11.502,
2012-04,12.386,
2012-07,12.283,
2012-10,11.949,
2013-01,12.335,
2013-04,12.099,
2013-07,12.639,
2013-10,12.481,
2014-01,12.752,
2014-04,13.180,
2014-07,12.854,
