"",BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:16,
1991-01,1726.220,
1991-04,2779.541,
1991-07,2374.335,
1991-10,772.152,
1992-01,-619.819,
1992-04,592.465,
1992-07,1903.767,
1992-10,1394.590,
1993-01,2229.078,
1993-04,3835.133,
1993-07,2307.588,
1993-10,5720.071,
1994-01,989.280,
1994-04,3053.638,
1994-07,799.452,
1994-10,1924.357,
1995-01,472.791,
1995-04,1529.688,
1995-07,2956.514,
1995-10,3011.735,
1996-01,3532.322,
1996-04,542.713,
1996-07,-1619.895,
1996-10,5094.484,
1997-01,2526.505,
1997-04,3081.100,
1997-07,5912.165,
1997-10,10277.911,
1998-01,7701.620,
1998-04,2983.234,
1998-07,5411.418,
1998-10,2672.235,
1999-01,5781.344,
1999-04,11499.065,
1999-07,4874.067,
1999-10,6361.733,
2000-01,5104.546,
2000-04,2548.853,
2000-07,7138.392,
2000-10,7847.827,
2001-01,6395.308,
2001-04,9097.969,
2001-07,9318.699,
2001-10,14795.841,
2002-01,9698.549,
2002-04,6809.654,
2002-07,3457.502,
2002-10,8046.042,
2003-01,6746.009,
2003-04,4349.073,
2003-07,8756.047,
2003-10,3498.399,
2004-01,-3546.114,
2004-04,-3384.169,
2004-07,2389.525,
2004-10,1855.397,
2005-01,9346.411,
2005-04,19951.164,
2005-07,14331.857,
2005-10,15746.030,
2006-01,3588.401,
2006-04,14054.336,
2006-07,5092.411,
2006-10,27863.951,
2007-01,10713.311,
2007-04,17785.185,
2007-07,20281.400,
2007-10,9401.622,
2008-01,16582.490,
2008-04,42145.830,
2008-07,36756.899,
2008-10,14919.808,
2009-01,-1516.092,
2009-04,15824.390,
2009-07,-10433.576,
2009-10,-11818.015,
2010-01,-13561.253,
2010-04,-1791.819,
2010-07,-23237.518,
2010-10,4243.059,
2011-01,10.544,
2011-04,-1708.178,
2011-07,7574.041,
2011-10,10985.877,
2012-01,-3713.378,
2012-04,8074.689,
2012-07,-4788.364,
2012-10,5413.181,
2013-01,-3416.983,
2013-04,2087.715,
2013-07,-6711.653,
2013-10,-5568.070,
2014-01,-114.777,Provisional value
2014-04,-4466.327,Provisional value
2014-07,2352.749,Provisional value
2014-10,-793.781,Provisional value
