"",BBK01.OEAH27P,BBK01.OEAH27P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:34,
2002-01,1.305,
2002-04,1.301,
2002-07,1.311,
2002-10,1.369,
2003-01,1.337,
2003-04,1.268,
2003-07,1.267,
2003-10,1.199,
2004-01,1.142,
2004-04,1.034,
2004-07,0.995,
2004-10,1.087,
2005-01,1.113,
2005-04,1.053,
2005-07,1.037,
2005-10,1.073,
2006-01,1.121,
2006-04,1.110,
2006-07,1.139,
2006-10,1.125,
2007-01,1.149,
2007-04,1.166,
2007-07,1.224,
2007-10,1.298,
2008-01,1.337,
2008-04,1.315,
2008-07,1.299,
2008-10,1.426,
2009-01,1.419,
2009-04,1.507,
2009-07,1.549,
2009-10,1.651,
2010-01,1.606,
2010-04,1.543,
2010-07,1.461,
2010-10,1.416,
2011-01,1.321,
2011-04,1.226,
2011-07,1.181,
2011-10,1.108,
2012-01,1.053,
2012-04,0.996,
2012-07,0.924,
2012-10,0.813,
2013-01,0.768,
2013-04,0.688,
2013-07,0.627,
2013-10,0.615,
2014-01,0.568,
2014-04,0.579,
2014-07,0.627,
