"",BBK01.OEAE16H,BBK01.OEAE16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:09,
2002-01,1.182,
2002-04,1.201,
2002-07,1.114,
2002-10,1.290,
2003-01,1.153,
2003-04,1.124,
2003-07,1.130,
2003-10,1.276,
2004-01,1.077,
2004-04,1.141,
2004-07,1.136,
2004-10,1.169,
2005-01,1.057,
2005-04,1.053,
2005-07,0.954,
2005-10,1.141,
2006-01,1.011,
2006-04,0.954,
2006-07,0.920,
2006-10,1.009,
2007-01,0.907,
2007-04,0.936,
2007-07,0.857,
2007-10,0.970,
2008-01,0.884,
2008-04,0.845,
2008-07,0.867,
2008-10,0.947,
2009-01,0.845,
2009-04,0.824,
2009-07,0.817,
2009-10,0.847,
2010-01,0.804,
2010-04,0.791,
2010-07,0.796,
2010-10,0.896,
2011-01,0.838,
2011-04,0.888,
2011-07,0.850,
2011-10,0.981,
2012-01,0.980,
2012-04,1.016,
2012-07,0.888,
2012-10,1.039,
2013-01,1.044,
2013-04,0.973,
2013-07,0.845,
2013-10,0.980,
2014-01,0.850,
2014-04,0.793,
2014-07,0.771,
