"",BBK01.OEXB21L,BBK01.OEXB21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:42,
2002-01,4.500,
2002-04,3.859,
2002-07,3.725,
2002-10,5.037,
2003-01,3.943,
2003-04,4.059,
2003-07,4.111,
2003-10,5.062,
2004-01,9.514,
2004-04,8.541,
2004-07,8.201,
2004-10,6.659,
2005-01,9.923,
2005-04,10.152,
2005-07,9.167,
2005-10,16.243,
2006-01,17.200,
2006-04,13.984,
2006-07,12.691,
2006-10,12.904,
2007-01,10.957,
2007-04,11.173,
2007-07,10.541,
2007-10,10.335,
2008-01,10.411,
2008-04,11.461,
2008-07,12.010,
2008-10,12.199,
2009-01,12.378,
2009-04,11.757,
2009-07,13.718,
2009-10,11.274,
2010-01,12.760,
2010-04,12.940,
2010-07,13.495,
2010-10,12.454,
2011-01,16.331,
2011-04,12.261,
2011-07,11.549,
2011-10,11.770,
2012-01,12.467,
2012-04,13.485,
2012-07,12.390,
2012-10,13.087,
2013-01,10.006,
2013-04,10.083,
2013-07,10.249,
2013-10,9.737,
2014-01,10.156,
2014-04,9.320,
2014-07,9.192,
