"",BBSF2.M.1.S.I0002.IMM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.IMM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net asset value / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:01,
2004-01,170,
2004-02,787,
2004-03,810,
2004-04,832,
2004-05,846,
2004-06,838,
2004-07,846,
2004-08,888,
2004-09,908,
2004-10,920,
2004-11,962,
2004-12,1097,
2005-01,1103,
2005-02,1108,
2005-03,1115,
2005-04,1119,
2005-05,1122,
2005-06,1203,
2005-07,1292,
2005-08,1666,
2005-09,2472,
2005-10,2703,
2005-11,2713,
2005-12,2893,
2006-01,2984,
2006-02,3017,
2006-03,3032,
2006-04,2989,
2006-05,3047,
2006-06,3074,
2006-07,3261,
2006-08,3357,
2006-09,3426,
2006-10,3474,
2006-11,3606,
2006-12,3670,
2007-01,3697,
2007-02,3739,
2007-03,3843,
2007-04,3828,
2007-05,3900,
2007-06,3884,
2007-07,3929,
2007-08,4007,
2007-09,4034,
2007-10,4046,
2007-11,4083,
2007-12,4102,
2008-01,4187,
2008-02,4170,
2008-03,4220,
2008-04,4232,
2008-05,4282,
2008-06,4471,
2008-07,4656,
2008-08,4718,
2008-09,4812,
2008-10,4867,
2008-11,4910,
2008-12,4966,
2009-01,5082,
2009-02,5517,
2009-03,5642,
2009-04,5656,
2009-05,5692,
2009-06,5795,
2009-07,5838,
2009-08,6276,
2009-09,5833,
2009-10,5905,
2009-11,6336,
2009-12,6575,
2010-01,6787,
2010-02,6827,
2010-03,6880,
2010-04,6838,
2010-05,6834,
2010-06,6856,
2010-07,6911,
2010-08,6923,
2010-09,6912,
2010-10,7094,
2010-11,7281,
2010-12,7278,
2011-01,7313,
2011-02,7509,
2011-03,7607,
2011-04,7618,
2011-05,7789,
2011-06,7873,
2011-07,7892,
2011-08,8005,
2011-09,7158,
2011-10,7604,
2011-11,7731,
2011-12,7953,
2012-01,8114,
2012-02,8128,
2012-03,8339,
2012-04,8312,
2012-05,8438,
2012-06,8498,
2012-07,8596,
2012-08,8800,
2012-09,8989,
2012-10,9176,
2012-11,9273,
2012-12,9567,
2013-01,9747,
2013-02,10096,
2013-03,10206,
2013-04,10746,
2013-05,10758,
2013-06,10974,
2013-07,11073,
2013-08,11260,
2013-09,11343,
2013-10,11390,
2013-11,11480,
2013-12,11623,
2014-01,11799,
2014-02,12045,
2014-03,12261,
2014-04,12364,
2014-05,12580,
2014-06,13080,
2014-07,13545,
2014-08,13924,
2014-09,14040,
2014-10,14073,
2014-11,14620,
