"",BBK01.OEAC31Q,BBK01.OEAC31Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:54,
2002-01,4.379,
2002-04,4.482,
2002-07,4.570,
2002-10,4.421,
2003-01,4.335,
2003-04,4.417,
2003-07,4.376,
2003-10,4.470,
2004-01,4.014,
2004-04,3.917,
2004-07,3.712,
2004-10,3.840,
2005-01,3.971,
2005-04,3.943,
2005-07,3.980,
2005-10,3.921,
2006-01,3.859,
2006-04,3.775,
2006-07,3.757,
2006-10,3.881,
2007-01,4.088,
2007-04,3.911,
2007-07,4.250,
2007-10,3.966,
2008-01,3.219,
2008-04,3.175,
2008-07,3.304,
2008-10,3.343,
2009-01,3.210,
2009-04,3.255,
2009-07,3.581,
2009-10,4.645,
2010-01,4.431,
2010-04,4.141,
2010-07,3.380,
2010-10,3.029,
2011-01,3.287,
2011-04,3.050,
2011-07,2.059,
2011-10,2.081,
2012-01,2.107,
2012-04,2.147,
2012-07,2.126,
2012-10,2.785,
2013-01,2.750,
2013-04,2.642,
2013-07,2.564,
2013-10,3.046,
2014-01,2.943,
2014-04,2.904,
2014-07,2.935,
