"",BBK01.OEAC39O,BBK01.OEAC39O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:53,
2002-01,2.453,
2002-04,2.472,
2002-07,2.406,
2002-10,2.493,
2003-01,2.471,
2003-04,2.413,
2003-07,2.534,
2003-10,2.585,
2004-01,2.460,
2004-04,2.534,
2004-07,2.598,
2004-10,2.617,
2005-01,2.447,
2005-04,2.491,
2005-07,2.438,
2005-10,2.142,
2006-01,2.191,
2006-04,2.128,
2006-07,2.110,
2006-10,2.048,
2007-01,2.004,
2007-04,2.106,
2007-07,2.051,
2007-10,2.010,
2008-01,2.036,
2008-04,2.009,
2008-07,1.952,
2008-10,1.916,
2009-01,1.713,
2009-04,1.623,
2009-07,1.685,
2009-10,1.839,
2010-01,1.762,
2010-04,1.797,
2010-07,1.560,
2010-10,1.645,
2011-01,1.537,
2011-04,1.569,
2011-07,1.717,
2011-10,1.639,
2012-01,1.805,
2012-04,1.845,
2012-07,1.871,
2012-10,1.969,
2013-01,1.936,
2013-04,1.860,
2013-07,2.358,
2013-10,2.147,
2014-01,2.378,
2014-04,2.511,
2014-07,2.508,
