"",BBFN1.M.DE.N.1.A.U2.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:03,
1995-01,55.505,
1995-02,54.388,
1995-03,55.720,
1995-04,56.785,
1995-05,58.479,
1995-06,56.811,
1995-07,55.479,
1995-08,54.729,
1995-09,52.733,
1995-10,55.219,
1995-11,53.521,
1995-12,49.320,
1996-01,50.104,
1996-02,52.871,
1996-03,57.750,
1996-04,57.443,
1996-05,57.027,
1996-06,54.375,
1996-07,52.211,
1996-08,50.916,
1996-09,51.887,
1996-10,50.918,
1996-11,52.522,
1996-12,50.603,
1997-01,56.315,
1997-02,58.604,
1997-03,58.216,
1997-04,57.397,
1997-05,56.692,
1997-06,55.668,
1997-07,58.604,
1997-08,54.249,
1997-09,52.264,
1997-10,52.757,
1997-11,51.481,
1997-12,48.856,
1998-01,53.509,
1998-02,53.083,
1998-03,55.771,
1998-04,58.141,
1998-05,58.616,
1998-06,56.394,
1998-07,57.251,
1998-08,57.229,
1998-09,59.248,
1998-10,60.299,
1998-11,60.145,
1998-12,55.011,
1999-01,52.694,
1999-02,52.100,
1999-03,54.885,
1999-04,56.287,
1999-05,55.799,
1999-06,57.684,
1999-07,58.952,
1999-08,59.043,
1999-09,60.231,
1999-10,55.736,
1999-11,55.928,
1999-12,54.634,
2000-01,56.986,
2000-02,57.563,
2000-03,58.682,
2000-04,58.678,
2000-05,54.714,
2000-06,54.669,
2000-07,54.936,
2000-08,72.946,
2000-09,67.505,
2000-10,68.709,
2000-11,67.631,
2000-12,64.477,
2001-01,73.371,
2001-02,76.943,
2001-03,77.462,
2001-04,75.126,
2001-05,75.183,
2001-06,75.721,
2001-07,78.243,
2001-08,73.884,
2001-09,65.175,
2001-10,64.780,
2001-11,66.650,
2001-12,66.551,
2002-01,77.254,
2002-02,76.270,
2002-03,78.263,
2002-04,82.089,
2002-05,89.838,
2002-06,81.897,
2002-07,76.336,
2002-08,77.815,
2002-09,80.493,
2002-10,77.327,
2002-11,70.962,
2002-12,70.570,
2003-01,77.728,
2003-02,78.898,
2003-03,80.628,
2003-04,88.951,
2003-05,93.199,
2003-06,89.939,
2003-07,92.791,
2003-08,87.727,
2003-09,92.039,
2003-10,89.886,
2003-11,88.484,
2003-12,85.294,
2004-01,95.509,
2004-02,93.597,
2004-03,97.358,
2004-04,93.951,
2004-05,91.690,
2004-06,93.421,
2004-07,94.883,
2004-08,96.954,
2004-09,97.462,
2004-10,95.177,
2004-11,91.607,
2004-12,95.138,
2005-01,93.921,
2005-02,94.864,
2005-03,101.515,
2005-04,98.597,
2005-05,97.663,
2005-06,93.980,
2005-07,98.197,
2005-08,103.481,
2005-09,104.373,
2005-10,108.685,
2005-11,102.103,
2005-12,96.699,
2006-01,96.423,
2006-02,103.563,
2006-03,105.776,
2006-04,107.169,
2006-05,108.164,
2006-06,103.880,
2006-07,99.602,
2006-08,105.370,
2006-09,106.663,
2006-10,104.939,
2006-11,104.245,
2006-12,103.160,
2007-01,106.604,
2007-02,109.980,
2007-03,113.560,
2007-04,112.039,
2007-05,109.438,
2007-06,112.296,
2007-07,112.400,
2007-08,109.472,
2007-09,104.905,
2007-10,108.341,
2007-11,109.735,
2007-12,102.492,
2008-01,107.094,
2008-02,107.812,
2008-03,118.749,
2008-04,114.850,
2008-05,115.448,
2008-06,115.843,
2008-07,116.951,
2008-08,115.043,
2008-09,117.477,
2008-10,111.821,
2008-11,109.928,
2008-12,113.706,
2009-01,116.366,
2009-02,115.233,
2009-03,129.733,
2009-04,126.235,
2009-05,124.844,
2009-06,130.700,
2009-07,123.787,
2009-08,120.372,
2009-09,123.270,
2009-10,126.371,
2009-11,125.306,
2009-12,137.979,
2010-01,131.037,
2010-02,132.094,
2010-03,132.774,
2010-04,134.248,
2010-05,133.778,
2010-06,138.698,
2010-07,140.797,
2010-08,142.912,
2010-09,139.495,
2010-10,141.746,
2010-11,142.076,
2010-12,139.418,
2011-01,148.308,
2011-02,146.790,
2011-03,153.626,
2011-04,150.871,
2011-05,163.367,
2011-06,161.787,
2011-07,175.450,
2011-08,184.511,
2011-09,193.254,
2011-10,193.253,
2011-11,192.554,
2011-12,164.638,
2012-01,191.174,
2012-02,187.052,
2012-03,181.619,
2012-04,181.240,
2012-05,190.092,
2012-06,193.226,
2012-07,186.896,
2012-08,181.770,
2012-09,191.054,
2012-10,184.034,
2012-11,187.537,
2012-12,178.525,
2013-01,196.324,
2013-02,198.093,
2013-03,203.013,
2013-04,204.973,
2013-05,204.894,
2013-06,217.810,
2013-07,206.337,
2013-08,199.194,
2013-09,197.060,
2013-10,199.007,
2013-11,194.940,
2013-12,188.454,
2014-01,193.245,
2014-02,198.450,
2014-03,207.953,
2014-04,201.077,
2014-05,214.727,
2014-06,211.143,
2014-07,205.372,
2014-08,212.103,
2014-09,214.683,
2014-10,207.942,
2014-11,211.201,
2014-12,198.628,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011 including Estonia.",
