"",BBK01.WXI066,BBK01.WXI066_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:43,
2009-09,46,
2009-10,27,
2009-11,114,
2009-12,82,
2010-01,76,
2010-02,68,
2010-03,79,
2010-04,108,
2010-05,83,
2010-06,95,
2010-07,61,
2010-08,51,
2010-09,601,
2010-10,40,
2010-11,35,
2010-12,133,
2011-01,157,
2011-02,114,
2011-03,117,
2011-04,105,
2011-05,113,
2011-06,203,
2011-07,113,
2011-08,174,
2011-09,299,
2011-10,180,
2011-11,326,
2011-12,70,
2012-01,124,
2012-02,80,
2012-03,60,
2012-04,49,
2012-05,99,
2012-06,111,
2012-07,232,
2012-08,40,
2012-09,26,
2012-10,71,
2012-11,98,
2012-12,72,
2013-01,81,
2013-02,63,
2013-03,59,
2013-04,72,
2013-05,80,
2013-06,64,
2013-07,54,
2013-08,45,
2013-09,158,
2013-10,40,
2013-11,55,
2013-12,170,
2014-01,41,
2014-02,75,
2014-03,72,
2014-04,57,
2014-05,62,
2014-06,24,
2014-07,24,
2014-08,65,
2014-09,69,
2014-10,52,
2014-11,63,
