"",BBDE1.M.DE.Y.BAA1.N2C180000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2C180000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 18 Printing and reproduction of recorded media / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:51,
1991-01,101.8,
1991-02,102.1,
1991-03,101.9,
1991-04,101.1,
1991-05,100.3,
1991-06,101.6,
1991-07,101.5,
1991-08,102.6,
1991-09,101.4,
1991-10,102.2,
1991-11,102.4,
1991-12,99.8,
1992-01,102.6,
1992-02,102.5,
1992-03,101.1,
1992-04,101.9,
1992-05,101.5,
1992-06,100.0,
1992-07,101.2,
1992-08,100.2,
1992-09,100.1,
1992-10,99.7,
1992-11,97.3,
1992-12,99.4,
1993-01,98.3,
1993-02,96.7,
1993-03,98.0,
1993-04,96.7,
1993-05,97.6,
1993-06,97.1,
1993-07,97.5,
1993-08,97.1,
1993-09,96.4,
1993-10,96.1,
1993-11,94.9,
1993-12,94.7,
1994-01,99.9,
1994-02,94.3,
1994-03,94.1,
1994-04,95.0,
1994-05,94.1,
1994-06,95.2,
1994-07,94.8,
1994-08,93.8,
1994-09,94.2,
1994-10,95.0,
1994-11,96.9,
1994-12,97.2,
1995-01,96.4,
1995-02,97.3,
1995-03,98.4,
1995-04,97.2,
1995-05,97.6,
1995-06,98.6,
1995-07,96.0,
1995-08,96.6,
1995-09,98.3,
1995-10,96.3,
1995-11,97.2,
1995-12,94.6,
1996-01,95.7,
1996-02,96.0,
1996-03,93.8,
1996-04,95.6,
1996-05,95.6,
1996-06,95.0,
1996-07,95.0,
1996-08,97.2,
1996-09,94.7,
1996-10,95.5,
1996-11,96.9,
1996-12,97.6,
1997-01,94.3,
1997-02,95.9,
1997-03,96.3,
1997-04,94.4,
1997-05,93.8,
1997-06,94.0,
1997-07,95.5,
1997-08,94.6,
1997-09,94.6,
1997-10,96.4,
1997-11,95.4,
1997-12,97.6,
1998-01,97.8,
1998-02,97.9,
1998-03,101.6,
1998-04,98.4,
1998-05,98.6,
1998-06,98.3,
1998-07,99.7,
1998-08,99.4,
1998-09,99.3,
1998-10,97.0,
1998-11,98.3,
1998-12,99.8,
1999-01,101.9,
1999-02,99.8,
1999-03,102.4,
1999-04,104.3,
1999-05,105.4,
1999-06,102.3,
1999-07,105.2,
1999-08,103.8,
1999-09,106.8,
1999-10,105.8,
1999-11,108.0,
1999-12,109.7,
2000-01,102.6,
2000-02,104.9,
2000-03,106.2,
2000-04,107.0,
2000-05,108.8,
2000-06,109.5,
2000-07,107.4,
2000-08,107.4,
2000-09,109.4,
2000-10,108.3,
2000-11,108.1,
2000-12,106.9,
2001-01,104.1,
2001-02,106.7,
2001-03,105.5,
2001-04,102.9,
2001-05,103.7,
2001-06,104.6,
2001-07,101.4,
2001-08,105.2,
2001-09,102.1,
2001-10,103.8,
2001-11,102.2,
2001-12,103.2,
2002-01,101.6,
2002-02,103.0,
2002-03,100.6,
2002-04,101.4,
2002-05,99.4,
2002-06,99.9,
2002-07,95.5,
2002-08,102.0,
2002-09,97.3,
2002-10,96.9,
2002-11,100.2,
2002-12,95.5,
2003-01,95.9,
2003-02,95.2,
2003-03,94.3,
2003-04,95.1,
2003-05,93.8,
2003-06,95.9,
2003-07,95.8,
2003-08,93.5,
2003-09,95.6,
2003-10,94.9,
2003-11,94.3,
2003-12,96.3,
2004-01,96.6,
2004-02,96.3,
2004-03,97.3,
2004-04,95.4,
2004-05,96.5,
2004-06,100.0,
2004-07,96.4,
2004-08,95.5,
2004-09,96.5,
2004-10,96.5,
2004-11,97.3,
2004-12,96.0,
2005-01,100.5,
2005-02,98.9,
2005-03,98.9,
2005-04,100.5,
2005-05,100.1,
2005-06,98.3,
2005-07,102.1,
2005-08,103.3,
2005-09,101.7,
2005-10,102.9,
2005-11,102.0,
2005-12,101.0,
2006-01,103.9,
2006-02,101.5,
2006-03,102.0,
2006-04,104.8,
2006-05,105.1,
2006-06,101.9,
2006-07,103.4,
2006-08,103.5,
2006-09,103.4,
2006-10,104.2,
2006-11,103.5,
2006-12,105.1,
2007-01,104.6,
2007-02,105.0,
2007-03,106.6,
2007-04,105.0,
2007-05,105.5,
2007-06,103.8,
2007-07,108.0,
2007-08,106.2,
2007-09,105.6,
2007-10,105.8,
2007-11,106.9,
2007-12,106.7,
2008-01,108.3,
2008-02,108.3,
2008-03,107.6,
2008-04,105.8,
2008-05,105.1,
2008-06,105.0,
2008-07,106.1,
2008-08,104.9,
2008-09,107.1,
2008-10,105.8,
2008-11,105.0,
2008-12,106.1,
2009-01,99.3,
2009-02,101.2,
2009-03,98.8,
2009-04,98.9,
2009-05,98.6,
2009-06,97.7,
2009-07,98.1,
2009-08,99.6,
2009-09,99.2,
2009-10,98.4,
2009-11,98.5,
2009-12,97.6,
2010-01,97.3,
2010-02,96.4,
2010-03,98.6,
2010-04,99.5,
2010-05,99.2,
2010-06,100.3,
2010-07,97.4,
2010-08,100.8,
2010-09,99.7,
2010-10,99.8,
2010-11,102.0,
2010-12,102.6,
2011-01,99.3,
2011-02,100.6,
2011-03,102.0,
2011-04,101.1,
2011-05,101.9,
2011-06,102.5,
2011-07,102.0,
2011-08,101.0,
2011-09,99.9,
2011-10,100.2,
2011-11,100.5,
2011-12,99.5,
2012-01,99.5,
2012-02,98.6,
2012-03,98.1,
2012-04,99.6,
2012-05,100.4,
2012-06,100.0,
2012-07,99.4,
2012-08,97.2,
2012-09,97.7,
2012-10,96.7,
2012-11,95.4,
2012-12,97.4,
2013-01,95.5,
2013-02,96.9,
2013-03,94.9,
2013-04,94.2,
2013-05,93.8,
2013-06,92.8,
2013-07,93.2,
2013-08,93.6,
2013-09,93.8,
2013-10,94.3,
2013-11,94.0,
2013-12,92.4,
2014-01,94.8,
2014-02,93.5,
2014-03,96.0,
2014-04,96.6,
2014-05,94.7,
2014-06,93.8,
2014-07,93.3,
2014-08,94.2,
2014-09,93.4,
2014-10,93.8,Provisional value
2014-11,93.8,Provisional value
2014-12,92.9,Provisional value
