"",BBK01.OELL07T,BBK01.OELL07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:24,
2002-01,1.682,
2002-04,1.647,
2002-07,1.652,
2002-10,1.702,
2003-01,1.707,
2003-04,1.675,
2003-07,1.694,
2003-10,1.740,
2004-01,1.761,
2004-04,1.751,
2004-07,1.731,
2004-10,1.796,
2005-01,1.811,
2005-04,1.801,
2005-07,1.805,
2005-10,1.843,
2006-01,1.848,
2006-04,1.834,
2006-07,1.837,
2006-10,1.829,
2007-01,1.803,
2007-04,1.787,
2007-07,1.789,
2007-10,1.808,
2008-01,1.791,
2008-04,1.749,
2008-07,1.724,
2008-10,1.748,
2009-01,1.735,
2009-04,1.700,
2009-07,1.679,
2009-10,1.720,
2010-01,1.691,
2010-04,1.657,
2010-07,1.640,
2010-10,1.655,
2011-01,1.652,
2011-04,1.643,
2011-07,1.632,
2011-10,1.657,
2012-01,1.649,
2012-04,1.625,
2012-07,1.621,
2012-10,1.639,
2013-01,1.603,
2013-04,1.598,
2013-07,1.598,
2013-10,1.615,
2014-01,1.622,
2014-04,1.610,
2014-07,1.593,
