"",BBK01.OEHM09L,BBK01.OEHM09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:16,
2002-01,0.055,
2002-04,0.057,
2002-07,0.055,
2002-10,0.041,
2003-01,0.022,
2003-04,0.033,
2003-07,0.041,
2003-10,0.045,
2004-01,0.040,
2004-04,0.023,
2004-07,0.019,
2004-10,0.020,
2005-01,0.029,
2005-04,0.021,
2005-07,0.024,
2005-10,0.018,
2006-01,0.010,
2006-04,0.014,
2006-07,0.013,
2006-10,0.011,
2007-01,0.017,
2007-04,0.016,
2007-07,0.018,
2007-10,0.020,
2008-01,0.016,
2008-04,0.008,
2008-07,0.007,
2008-10,0.008,
2009-01,0.019,
2009-04,0.031,
2009-07,0.030,
2009-10,0.037,
2010-01,0.032,
2010-04,0.022,
2010-07,0.021,
2010-10,0.017,
2011-01,0.011,
2011-04,0.010,
2011-07,0.005,
2011-10,0.004,
2012-01,0.003,
2012-04,0.003,
2012-07,0.003,
2012-10,0.007,
2013-01,0.007,
2013-04,0.007,
2013-07,0.007,
2013-10,0.003,
2014-01,0.004,
2014-04,0.016,
2014-07,0.016,
